bioproject,country,N
mgp6153,Belgium,34
PRJDB1459,Japan,4
PRJEB10308,Denmark,35
PRJEB11419,Australia,3
PRJEB11419,Belgium,1
PRJEB11419,Canada,3
PRJEB11419,Germany,1
PRJEB11419,China,1
PRJEB11419,Iceland,1
PRJEB11419,Japan,2
PRJEB11419,Philippines,85
PRJEB11419,United Kingdom,4
PRJEB11419,United States,2059
PRJEB15371,China,27
PRJEB30307,United Kingdom,30
PRJEB33500,Italy,993
PRJEB35524,France,129
PRJEB35587,Canada,55
PRJEB35769,Germany,103
PRJEB36943,Canada,90
PRJEB41867,Austria,28
PRJEB43147,Spain,36
PRJEB44237,Netherlands,48
PRJEB45944,Netherlands,148
PRJEB7759,Denmark,47
PRJEB7759,Sweden,17
PRJEB7759,United States,80
PRJNA256106,China,106
PRJNA268964,Peru,36
PRJNA268964,United States,22
PRJNA278393,Italy,11
PRJNA278393,Tanzania,27
PRJNA290729,Germany,92
PRJNA340216,Italy,27
PRJNA340931,China,17
PRJNA341282,China,13
PRJNA395744,Denmark,185
PRJNA397112,India,110
PRJNA420817,Sweden,48
PRJNA421881,Italy,73
PRJNA448009,United States,78
PRJNA482729,India,23
PRJNA491335.1,Denmark,103
PRJNA491335.2,Denmark,103
PRJNA503909,Australia,100
PRJNA515074,United States,23
PRJNA549182,United States,48
PRJNA563913,United States,16
PRJNA576024,China,16
PRJNA603829,United States,16
PRJNA612367,China,48
PRJNA615253,China,9
PRJNA631099,China,12
PRJNA657446,China,18
PRJNA675102,United States,65
PRJNA675301,United States,434
PRJNA694540,China,6
PRJNA704567,United States,24
PRJNA718322,United States,9
PRJNA719272,China,24
PRJNA730805,United States,30
PRJNA731974,China,12
PRJNA735448,United States,21
PRJNA743361.1,United States,62
PRJNA743361.2,United States,64
PRJNA746613,United States,191
PRJNA750084,United States,4
PRJNA753725,China,40
PRJNA766048,United States,134
PRJNA770295,United States,94
PRJNA770295.2,United States,142
PRJNA771420,China,24
PRJNA773205,China,9
PRJNA788383,Italy,74
PRJNA832737,Italy,25
