"Df","SumOfSqs","R2","F","Pr..F.","prj_name","diets"
1,0.600830135543873,0.137418350995144,1.27448434502339,0.041,"PRJEB15371","Baseline_EEN_diet"
1,0.766770912715458,0.192183134587514,1.90323468415711,0.02,"PRJEB30307","Baseline_Low_fiber_diet"
1,0.298273305178314,0.115264860188369,0.781690621305561,0.656,"PRJEB35587","Baseline_EEN_diet"
1,0.25477645971958,0.0838399520977273,0.732098740081017,0.659,"PRJEB35769","Baseline_Probiotics"
1,0.322255857333129,0.100480977771133,0.893641826692285,0.586,"PRJEB33500","Baseline_Mediterranean_diet"
1,0.631330880285286,0.275678993145122,3.04482670568583,0.007,"PRJEB36943","Chow_diet_HFHS_diet"
1,0.476358616030846,0.13603862815383,1.25967324546591,0.21,"PRJEB41867","Omnivores_Vegatarian"
1,0.185867485747698,0.052988345291009,0.447625707899376,0.959,"PRJEB11419","Omnivores_Vegatarian"
1,0.424097533533889,0.114098361452705,1.03034789857532,0.465,"PRJEB43147","Baseline_Mediterranean_diet"
1,0.307324588346957,0.0900775107288971,0.791957660490876,0.622,"PRJEB44237","Baseline_Mediterranean_diet"
1,0.305992418264054,0.108415494137279,0.972789396176173,0.472,"PRJEB45944","Omnivores_Vegatarian"
1,0.669755554516033,0.187674752969548,1.84827201819088,0.071,"PRJEB7759","Chow_diet_High_fat_diet"
1,0.328831794240262,0.108373691756704,0.972368722230502,0.391,"PRJEB35524","Baseline_Low_calorie_diet"
1,0.175497938621439,0.112068086733283,1.00969982097823,0.397,"PRJEB10308","Chow_diet_High_fat_diet"
1,0.176662584579863,0.157050797024838,1.30417773134339,0.245,"PRJNA563913","Chow_diet_HFHS_diet"
1,0.031807468795969,0.125302073879439,1.14601459669786,0.368,"PRJNA549182","Control_Glucose"
1,0.339629472503815,0.12448783971283,1.13750872103933,0.332,"PRJNA576024","Chow_diet_High_fat_diet"
1,0.297726373559779,0.133619114697437,1.23381405997454,0.242,"PRJNA603829","Chow_diet_High_fat_diet"
1,0.296664707221062,0.0866945766570356,0.759391760444896,0.467,"PRJNA612367","Baseline_High_fermented_diet"
1,0.0227980470820911,0.034000126967223,0.281574587462244,0.76,"PRJNA657446","Chow_diet_High_fat_diet"
1,0.467060921216226,0.157442963280655,0.934316351410992,1,"PRJNA675301","EEN_diet_Vegatarian"
1,0.00544264914731752,0.0865266129391641,0.75778113880313,0.381,"PRJNA675102.2","Baseline_CONTROL"
1,0.325659386409812,0.252176157470177,2.69770652529169,0.089,"PRJNA675102","Baseline_MRE"
1,0.659872823633291,0.204681104607445,1.80150093321362,0.07,"PRJNA448009","acarbose_Control"
1,0.499466833839519,0.166632601583733,0.999754741428586,0.454,"PRJNA633576","Breastmilk_Formula"
1,0.00779458781731284,0.0362184433196154,0.300636118784966,0.75,"PRJNA704567","High_fat_diet_NR+High_fat_diet"
1,0.262608861212104,0.103654372259284,0.925128602640034,0.406,"PRJNA719272","Chow_diet_High_fat_diet"
1,0.247912120918047,0.0879589470101622,0.771534980552173,0.669,"PRJNA730805","Chow_diet_High_fat_diet"
1,0.242558761363899,0.103630055031639,0.924886476735195,0.466,"PRJNA735448","Chow_diet_High_fat_diet"
1,0.399434705596804,0.116648148495352,1.05641391521769,0.347,"PRJNA743361.1","Baseline_High_fiber_diet"
1,0.424328402755363,0.113004150350943,1.01920792883668,0.442,"PRJNA743361.2","Baseline_High_fermented_diet"
1,0.303124878943824,0.0911499938972504,0.802332559037871,0.691,"PRJNA256106","Baseline_WTP_diet"
1,0.548758596192804,0.184446608226974,1.8092903305912,0.111,"PRJNA746613","Baseline_FOS"
1,0.623761196017775,0.231427798760557,2.40891146869318,0.078,"PRJNA753725.3","ARB+Chow_diet_Chow_diet"
1,0.391272678934367,0.2461456962276,2.61213016887587,0.047,"PRJNA753725.6","ARB+High_sugar_diet_High_sugar_diet"
1,0.865685042106435,0.326408548775283,3.87663528902346,0.035,"PRJNA753725","Chow_diet_High_fat_diet"
1,1.44937778804685,0.567603994212113,10.5015585086705,0.05,"PRJNA753725.7","Chow_diet_High_protein_diet"
1,0.421335957064273,0.145569982066571,1.36296692776458,0.219,"PRJNA766048.2","Baseline_RRB+FOS"
1,0.500874203675687,0.141141851106966,1.31469301456946,0.209,"PRJNA766048","Baseline_RRB"
1,0.360541638078259,0.0932940356871782,0.823146990174565,0.678,"PRJNA766048.3","Baseline_RRB+FOS_Washout"
1,0.145314591572423,0.0806572489171903,0.701868797657383,0.628,"PRJNA770295.4","High_fiber_diet_Low_fiber_diet"
1,0.491484478508894,0.12463841790894,1.13908053959786,0.317,"PRJNA771420","Chow_diet_High_fat_diet"
1,0.585017758617825,0.144359571326834,1.34972183631567,0.117,"PRJNA778397","Breastmilk_Formula"
1,0.450006556911456,0.11920715446719,1.08272591060914,0.29,"PRJNA788383","Baseline_Low_calorie_diet+Butyrate"
1,0.214197315319235,0.0783333574548204,0.679927894437,0.659,"PRJNA788383.2","Baseline_Low_calorie_diet"
1,0.369782149941084,0.119949674622676,1.09038923037723,0.356,"PRJNA268964","High_urbanization_Low_urbanization"
1,0.468632912689128,0.139755909996691,1.29968609254756,0.23,"PRJNA832737","Low_Milk_Milk"
1,0.427384361884817,0.106503524460035,0.953588759446839,0.49,"PRJNA278393","High_urbanization—意大利_Low_urbanization-哈萨克"
1,0.433253766658016,0.122736301708829,1.11926484087198,0.349,"PRJNA290729","Baseline_Low_calorie_diet"
1,0.44123045392434,0.114974032991435,0.909372448878953,0.665,"PRJNA314903","Breastmilk_Formula"
1,0.457838988039558,0.156056005195479,1.47930200256121,0.135,"PRJNA340216","Omnivores_Vegatarian"
1,0.55118895249412,0.208807899938355,2.111324417138,0.062,"PRJNA341282","Chow_diet_High_fat_diet"
1,0.477311058693798,0.132804803115498,1.22514334574375,0.265,"PRJNA395744","Baseline_Whole_grain_diet"
1,0.387267016710298,0.0978174114320079,0.867384608583685,0.535,"PRJNA397112","Omnivores_Vegatarian"
1,0.574433242086322,0.193051256991134,1.91388866927339,0.126,"PRJNA420817","Baseline_Low_carbon_water_diet"
1,0.239734137575884,0.10396478773794,0.92822055486394,0.421,"PRJNA421881","Omnivores_Vegatarian"
1,0.750973664601508,0.209725600076178,2.12306611573291,0.088,"PRJNA473126","Breastmilk_Formula"
1,0.530757683864546,0.141645706453667,1.32016075430532,0.17,"PRJNA482729","HAMS_HAMSA"
1,0.318719345663288,0.0981794541102998,0.870944487195642,0.619,"PRJNA491335.1","Baseline_High_gluten_diet"
1,0.387693734026314,0.103988188094551,0.928453725389273,0.51,"PRJNA491335.2","Baseline_Low_gluten_diet"
1,0.517270907111207,0.166853197639917,1.60214931790908,0.098,"PRJNA503909","High_urbanization_Low_urbanization"
1,0.532695189983408,0.119382874225613,1.08453829235384,0.058,"PRJNA510445","Breastmilk_Formula"
1,0.259336049659487,0.128918089877876,1.18398133061725,0.254,"PRJNA515074","Control_Glucose"
1,0.430898913325689,0.115488822357765,0.913975738169074,0.463,"PRJNA542703","Breastmilk_Formula"
1,0.175139202971056,0.192914866435146,1.91221330600454,0.019,"Fucoidan","Chow_diet_High_fat_diet+Fucoidan"
1,0.952233091782618,0.312518201124584,3.63667170983495,0.009,"mgp6153.2","High_fat_diet_High_fat_diet+Prebiotics"
1,0.0585483818093721,0.104962132770983,0.820898150009647,0.728,"mgp6153.3","Chow_diet_Chow_diet+Prebiotics"
1,0.359328051318731,0.0934106679354208,0.824282083467242,0.671,"PRJNA770295","Control_Prebiotics"
