"","mgp6153.Control.Nutrition1.Diet1","mgp6153.Diet1","mgp6153.Prebiotics.Nutrition1.Diet1","PRJEB10308.Diet1","PRJEB11419.Austria.Country.Diet1","PRJEB11419.Diet1","PRJEB11419.Elderly_people.Age2.Diet1","PRJEB11419.High_alkohol.Nutrition1.Diet1","PRJEB11419.Low_alkohol.Nutrition1.Diet1","PRJEB11419.Middle_age.Age2.Diet1","PRJEB11419.NA.Age2.Diet1","PRJEB11419.NA.Continent.Diet1","PRJEB11419.NA.Country.Diet1","PRJEB11419.North_America.Continent.Diet1","PRJEB11419.United_States.Country.Diet1","PRJEB11419.Youth.Age2.Diet1","PRJEB15371.Diet1","PRJEB30307.Diet1","PRJEB33500.Diet1","PRJEB33500.Elderly_people.Age2.Diet1","PRJEB33500.female.Sex.Diet1","PRJEB33500.male.Sex.Diet1","PRJEB33500.Middle_age.Age2.Diet1","PRJEB33500.Teenagers.Age2.Diet1","PRJEB33500.Youth.Age2.Diet1","PRJEB35524.Diet1","PRJEB35587.Diet1","PRJEB36943.Diet1","PRJEB41867.Diet1","PRJEB41867.female.Sex.Diet1","PRJEB41867.High_alkohol.Nutrition1.Diet1","PRJEB41867.Low_alkohol.Nutrition1.Diet1","PRJEB41867.male.Sex.Diet1","PRJEB41867.NA.Diease2.Diet1","PRJEB41867.Obesity.Diease2.Diet1","PRJEB43147.Diet1","PRJEB43147.Obesity.Diease2.Diet1","PRJEB44237.Diet1","PRJEB45944.Diet1","PRJEB7759.Denmark.Country.Diet1","PRJEB7759.Diet1","PRJEB7759.Europe.Continent.Diet1","PRJEB7759.male.Sex.Diet1","PRJEB7759.North_America.Continent.Diet1","PRJEB7759.United_States.Country.Diet1","PRJNA256106.children.Age2.Diet1","PRJNA256106.Diet1","PRJNA256106.female.Sex.Diet1","PRJNA256106.male.Sex.Diet1","PRJNA256106.Teenagers.Age2.Diet1","PRJNA268964.Diet1","PRJNA268964.female.Sex.Diet1","PRJNA268964.Healthy.Diease2.Diet1","PRJNA268964.male.Sex.Diet1","PRJNA268964.Obesity.Diease2.Diet1","PRJNA278393.Diet1","PRJNA290729.Diet1","PRJNA314903.Cystic_fibrosis.Diease2.Diet1","PRJNA314903.Diet1","PRJNA314903.Healthy.Diease2.Diet1","PRJNA314903.Infant.Age2.Diet1","PRJNA314903.N.Antibiotic.Diet1","PRJNA314903.Y.Antibiotic.Diet1","PRJNA340216.Diet1","PRJNA341282.Diet1","PRJNA395744.Diet1","PRJNA397112.Diet1","PRJNA397112.Youth.Age2.Diet1","PRJNA420817.Diet1","PRJNA421881.Diet1","PRJNA473126.Bottled_Water.Nutrition1.Diet1","PRJNA473126.Diet1","PRJNA473126.female.Sex.Diet1","PRJNA473126.Filtered_Water.Nutrition1.Diet1","PRJNA473126.male.Sex.Diet1","PRJNA473126.N.Antibiotic.Diet1","PRJNA473126.NA.Nutrition1.Diet1","PRJNA473126.Tap_Water.Nutrition1.Diet1","PRJNA473126.Y.Antibiotic.Diet1","PRJNA491335.1.Diet1","PRJNA491335.1.Elderly_people.Age2.Diet1","PRJNA491335.1.female.Sex.Diet1","PRJNA491335.1.male.Sex.Diet1","PRJNA491335.1.Middle_age.Age2.Diet1","PRJNA491335.1.Youth.Age2.Diet1","PRJNA491335.2.Diet1","PRJNA491335.2.Elderly_people.Age2.Diet1","PRJNA491335.2.female.Sex.Diet1","PRJNA491335.2.male.Sex.Diet1","PRJNA491335.2.Middle_age.Age2.Diet1","PRJNA491335.2.Youth.Age2.Diet1","PRJNA503909.Diet1","PRJNA503909.Elderly_people.Age2.Diet1","PRJNA503909.female.Sex.Diet1","PRJNA503909.male.Sex.Diet1","PRJNA503909.Middle_age.Age2.Diet1","PRJNA503909.Teenagers.Age2.Diet1","PRJNA503909.Youth.Age2.Diet1","PRJNA510445.Cystic_fibrosis.Diease2.Diet1","PRJNA510445.Diet1","PRJNA510445.female.Sex.Diet1","PRJNA510445.Healthy.Diease2.Diet1","PRJNA510445.male.Sex.Diet1","PRJNA510445.N.Antibiotic.Diet1","PRJNA510445.NA.Sex.Diet1","PRJNA510445.Y.Antibiotic.Diet1","PRJNA542703.Diet1","PRJNA563913.Diet1","PRJNA576024.Diet1","PRJNA576024.RSV.Nutrition1.Diet1","PRJNA603829.Diet1","PRJNA612367.Diet1","PRJNA615253.Control.Nutrition1.Diet1","PRJNA615253.Diet1","PRJNA633576.Diet1","PRJNA633576.female.Sex.Diet1","PRJNA633576.male.Sex.Diet1","PRJNA633576.NA.Sex.Diet1","PRJNA657446.Diet1","PRJNA675102.Diet1","PRJNA675102.Resistant_starch.Nutrition1.Diet1","PRJNA675301.Diet1","PRJNA675301.Elderly_people.Age2.Diet1","PRJNA675301.Middle_age.Age2.Diet1","PRJNA675301.N.Antibiotic.Diet1","PRJNA675301.NA.Antibiotic.Diet1","PRJNA675301.NA.Diease2.Diet1","PRJNA675301.Obesity.Diease2.Diet1","PRJNA675301.Y.Antibiotic.Diet1","PRJNA675301.Youth.Age2.Diet1","PRJNA719272.Diet1","PRJNA719272.N.Antibiotic.Diet1","PRJNA719272.Y.Antibiotic.Diet1","PRJNA730805.Diet1","PRJNA731529.Diet1","PRJNA735448.Diet1","PRJNA743361.1.Diet1","PRJNA743361.1.Healthy.Diease2.Diet1","PRJNA743361.2.Diet1","PRJNA750084.Diet1","PRJNA753725.ARB.Nutrition1.Diet1","PRJNA753725.Control.Nutrition1.Diet1","PRJNA753725.Diet1","PRJNA770295.Anti-PD1.Diease2.Diet1","PRJNA770295.Diet1","PRJNA770295.Elderly_people.Age2.Diet1","PRJNA770295.female.Sex.Diet1","PRJNA770295.human.Host.Diet1","PRJNA770295.Iso_Ctrl.Diease2.Diet1","PRJNA770295.isotype.Diease2.Diet1","PRJNA770295.male.Sex.Diet1","PRJNA770295.melanoma(Obesity).Diease2.Diet1","PRJNA770295.Middle_age.Age2.Diet1","PRJNA770295.mouse.Host.Diet1","PRJNA770295.N.Antibiotic.Diet1","PRJNA770295.NA.Age2.Diet1","PRJNA770295.NA.Antibiotic.Diet1","PRJNA770295.NA.Sex.Diet1","PRJNA770295.Y.Antibiotic.Diet1","PRJNA771420.Control.Nutrition1.Diet1","PRJNA771420.Diet1","PRJNA773205.Control.Nutrition1.Diet1","PRJNA773205.Diet1","PRJNA778397.Diet1","PRJNA778397.female.Sex.Diet1","PRJNA778397.male.Sex.Diet1","PRJNA788383.Diet1"
"k__Bacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.c__Candidatus_Babeliae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.c__Candidatus_Babeliae.o__Candidatus_Babeliales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.c__Candidatus_Babeliae.o__Candidatus_Babeliales.f__Candidatus_Babeliaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.c__Candidatus_Babeliae.o__Candidatus_Babeliales.f__Candidatus_Babeliaceae.g__Candidatus_Babela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.c__Candidatus_Babeliae.o__Candidatus_Babeliales.f__Candidatus_Babeliaceae.g__Candidatus_Babela.s__Candidatus_Babela_massiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.f__Candidatus_Chazhemtobacteraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.f__Candidatus_Chazhemtobacteraceae.g__Candidatus_Chazhemtobacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.f__Candidatus_Chazhemtobacteraceae.g__Candidatus_Chazhemtobacterium.s__Candidatus_Chazhemtobacterium_aquaticus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Bacteria.p__Acidobacteria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low_urbanization","Low_urbanization",NA,NA,"Low_urbanization","Low_urbanization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chow_diet",NA,NA,"Chow_diet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chow_diet",NA,NA,NA,NA,NA,NA,NA,"Chow_diet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High_fat_diet","High_fat_diet",NA,NA,NA,NA,NA,NA
