"case","control","Type"
"High_fat_diet","Chow_diet","Fat"
"Vegatarian","Omnivores","Vegatarian"
"Mediterranean_diet","Baseline","Fiber"
"WTP_diet","Baseline","Fiber"
"High_urbanization","Low_urbanization","Others"
"MRE","Control","Others"
"High_fiber_diet","Baseline/Low_fiber_diet","Fiber"
"EEN_diet","Baseline/Omnivores","Others"
"High_fermented_diet","Baseline","Others"
"High_protein_diet","Chow_diet","Protein"
"High_sugar_diet","Chow_diet","Carbon"
"Whole_grain_diet","Baseline","Fiber"
"Low_carbon_water_diet","Baseline","Carbon"
"High_gluten_diet","Baseline","Gluten"
"Low_calorie_diet","Baseline","Calorie"
