"","L1EGH020933","L1EGH020934","L1EGH020935","L1EGH020936","L1EGH020937","L1EGH020938","L1EGH020939","L1EGH020941","L1HGH010557","L1HGH010558","L1HGH010559","L1HGH010560","L1HGH010561","L1HGH010562","L1HGH010563","L1HGH010564","L1HGH010565","L1HGH010566","L1EGH020932","L1EHE1100144","L1EHE1100145","L1EHE1100146","L1EHE1100147","L1EHE1100148","L1EHE1100149","L1EHE1100150","L1EHE1100151","L1EHE1100152","L1EHE1100153"
"k__Bacteria.c__Candidatus_Babeliae.o__Candidatus_Babeliales.f__Candidatus_Babeliaceae.g__Candidatus_Babela",0,0,5.3008021744706e-06,0,0,0,0,2.01396851947498e-06,0,0,0,0,0,0,0,5.23786014467638e-05,3.1642350311511e-06,4.72439965934592e-06,1.98679851856355e-07,1.21209574586716e-06,5.3553845348666e-05,0,1.79189403455437e-06,6.90137221363998e-06,1.62680629725872e-06,2.31885240921809e-07,1.91407524804023e-06,3.14878414423447e-07,1.66991674212603e-06
"k__Bacteria.f__Candidatus_Chazhemtobacteraceae.g__Candidatus_Chazhemtobacterium",2.85568995203053e-06,0,0,0,0,1.75501099514388e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04031915289052e-07,1.21713284883332e-06,3.60933952695996e-06,0,1.07661406532784e-05,5.42268765752908e-07,2.08696716829628e-06,0,1.25951365769379e-06,1.66991674212603e-06
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Acidisarcina",6.93524702635985e-06,3.98767012397666e-05,3.99598933152399e-05,1.5159868795325e-05,1.43782063653332e-05,3.98866135259974e-06,9.29758427421838e-06,9.33749040847493e-06,9.77512609912668e-06,7.71828358470769e-06,2.00366671007945e-05,2.0910275824721e-05,1.96308175708123e-05,5.09712772931586e-06,3.27122809438171e-06,0.000153792489354328,4.31918081752126e-05,1.98922090919828e-05,2.98019777784533e-05,1.49491808656949e-05,0.000149707340406498,7.21867905391992e-06,6.47641701060366e-05,3.22984219598351e-05,1.30144503780698e-05,1.32174587325431e-05,1.29200079242715e-05,6.61244670289238e-06,9.60202126722467e-06
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Acidobacterium",1.32585604915703e-05,4.85166531750494e-05,4.19986633823441e-05,2.39366349399868e-05,2.9768962474704e-05,1.43591808693591e-05,4.37443719131258e-05,3.77161377283497e-05,2.0125259615849e-05,5.21568860421157e-05,2.82739635755655e-05,2.59105591741107e-05,3.48666759839801e-05,1.32525320962212e-05,7.36026321235884e-06,3.34331498596364e-05,3.54394323488923e-05,2.03895143192824e-05,4.78818442973816e-05,4.24233511053505e-05,5.84223767439993e-05,1.15498864862719e-05,8.03792466928676e-05,6.43207890311246e-05,3.41629322424332e-05,3.7565409029333e-05,2.27296435704777e-05,2.92836925413805e-05,2.75536262450795e-05
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Candidatus_Koribacter",2.32534753236772e-05,1.39568454339183e-05,1.38636364563077e-05,1.19683174699934e-05,6.78408328505159e-06,1.00514266085513e-05,6.40161540192085e-06,1.04360186918249e-05,1.66752151102749e-05,6.08107191522424e-06,3.45075933402571e-05,2.42437980576475e-06,3.13507086578644e-05,3.29352868663486e-06,1.28512532279281e-06,0,6.17025831074465e-06,1.34272411370884e-05,1.41062694818012e-05,1.45451489504059e-05,3.28625869184996e-05,1.15498864862719e-05,1.58710614489102e-05,8.55770154491358e-06,3.5247469773939e-06,5.56524578212341e-06,3.3496316840704e-06,1.00761092615503e-05,1.08544588238192e-05
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Edaphobacter",1.34625383452868e-05,3.72182544904489e-05,2.60962568589322e-05,2.55324106026526e-05,1.29606367236807e-05,1.19659840577992e-05,1.7985490891111e-05,2.32521819975748e-05,2.24252892862318e-05,1.33315807372224e-05,3.71791489536964e-05,8.48532932017663e-06,3.60386650926853e-05,6.90072677199685e-06,1.10988096059379e-06,4.6806409803491e-05,1.80361396775613e-05,2.73517875014763e-05,3.87425711119893e-05,2.02015957644526e-05,3.65139854649995e-05,2.16560371617597e-05,5.01730329675225e-05,2.70533790774688e-05,3.36206634766803e-05,1.53044259008394e-05,9.09185742819108e-06,1.73183127932896e-05,2.08739592765753e-05
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Granulicella",3.20245230334852e-05,0.000101020976474075,4.60762035165522e-05,4.22880550606434e-05,2.99714724235115e-05,4.06843457965174e-05,8.27637419819767e-05,8.23896212512493e-05,3.96755118141024e-05,0.000214474728702332,4.98690381175328e-05,5.65183542218908e-05,7.70582838973678e-05,2.85439152841688e-05,9.81368428314512e-06,7.02096147052366e-05,2.62631507585541e-05,7.40984788676361e-05,9.29821706687743e-05,4.52515745123738e-05,0.000110759089243832,4.83651496612635e-05,0.000125944552142965,8.94417838887741e-05,0.000191692008693653,9.92468831145342e-05,4.95266970430409e-05,8.21832661645195e-05,8.05734828075809e-05
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Acidobacteriales.f__Acidobacteriaceae.g__Terriglobus",4.73228620622202e-05,7.64303440428861e-05,5.87165779325975e-05,3.27134010846487e-05,5.13362720227038e-05,4.6108925236053e-05,5.59379250596417e-05,4.44903954756746e-05,3.27754228029542e-05,0.00017962550888047,5.09821862897992e-05,5.74274966490525e-05,6.62173846418445e-05,1.29388626974941e-05,8.64538853515166e-06,7.02096147052365e-05,3.08512915537232e-05,3.53086711382695e-05,5.66237577790613e-05,3.19185213078351e-05,8.27650337206656e-05,2.52653766887197e-05,9.29225049347481e-05,7.5086929684403e-05,4.14835605800975e-05,9.92468831145341e-05,3.18215009986687e-05,3.43217471721557e-05,4.92625438927179e-05
"k__Bacteria.p__Acidobacteria.c__Acidobacteriia.o__Bryobacterales.f__Bryobacteraceae.g__Paludibaculum",1.2238671222988e-05,1.66152921832361e-05,2.16109627113032e-05,3.11176254219829e-05,2.07572697527698e-05,1.65928312268149e-05,2.0729040349077e-05,2.61815907531748e-05,1.61002076926792e-05,8.58366689572038e-05,2.49345190587664e-05,3.15169374749418e-05,2.66627522230436e-05,5.01871037963407e-06,4.90684214157256e-06,2.2288766573091e-05,2.37317627336333e-05,2.4367956137679e-05,1.60930680003648e-05,2.90902979008118e-05,3.04283212208329e-05,5.77494324313594e-06,2.22706830008901e-05,3.06420926285615e-05,8.13403148629361e-06,5.12466382437197e-05,2.17726059464576e-05,2.23563674240647e-05,2.46312719463589e-05
"k__Bacteria.p__Acidobacteria.c__Blastocatellia.g__Chloracidobacterium",2.06017632253631e-05,4.38643713637433e-05,2.52807488320906e-05,3.27134010846488e-05,2.19723294456148e-05,1.91455744924788e-05,3.49040458819018e-05,4.10117225783996e-05,2.99003857149757e-05,0.000206522557736269,6.12231494746497e-05,0,3.39876841524512e-05,4.31295423249803e-06,2.57025064558563e-06,5.79507930900366e-05,6.80310531697487e-06,2.46166087513287e-05,3.77491718527075e-05,2.74741702396556e-05,5.23367124998327e-05,2.09341692563678e-05,4.7101214622572e-05,7.20503259104014e-05,3.38917978595567e-05,8.62613096229129e-05,4.23489148628899e-05,4.66020053346701e-05,5.26023773769699e-05
