"Bacteria_name","Bacteria_grep_name","Viruses_name","Viruses_grep_name"
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia.s__Wolbachia_endosymbiont_of_Spodoptera_picta","Wolbachia_endosymbiont_of_Spodoptera_picta","k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Spodoptera_exigua_multiple_nucleopolyhedrovirus","Spodopt"
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia.s__Wolbachia_endosymbiont_of_Spodoptera_picta","Wolbachia_endosymbiont_of_Spodoptera_picta","k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Spodoptera_litura_nucleopolyhedrovirus_II","Spodopt"
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia.s__Wolbachia_endosymbiont_of_Drosophila_innubila","Wolbachia_endosymbiont_of_Drosophila_innubila","k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Alphanudivirus.s__Drosophila_innubila_nudivirus","Drosoph"
"k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia.s__Wolbachia_endosymbiont_of_Drosophila_innubila","Wolbachia_endosymbiont_of_Drosophila_innubila","k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Nudiviridae.g__Alphanudivirus.s__Drosophila_melanogaster_nudivirus_A","Drosoph"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea","Pandoraea","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_apista","Pandoraea_apista","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_faecigallinarum","Pandoraea_faecigallinarum","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_fibrosis","Pandoraea_fibrosis","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_norimbergensis","Pandoraea_norimbergensis","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_oxalativorans","Pandoraea_oxalativorans","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pnomenusa","Pandoraea_pnomenusa","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pulmonicola","Pandoraea_pulmonicola","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sp._XY.2","Pandoraea_sp._XY.2","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum","Pandoraea_sputorum","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_thiooxydans","Pandoraea_thiooxydans","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_vervacti","Pandoraea_vervacti","k__Viruses.g__Pandoravirus.s__Pandoravirus_dulcis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea","Pandoraea","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_apista","Pandoraea_apista","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_faecigallinarum","Pandoraea_faecigallinarum","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_fibrosis","Pandoraea_fibrosis","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_norimbergensis","Pandoraea_norimbergensis","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_oxalativorans","Pandoraea_oxalativorans","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pnomenusa","Pandoraea_pnomenusa","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pulmonicola","Pandoraea_pulmonicola","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sp._XY.2","Pandoraea_sp._XY.2","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum","Pandoraea_sputorum","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_thiooxydans","Pandoraea_thiooxydans","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_vervacti","Pandoraea_vervacti","k__Viruses.g__Pandoravirus.s__Pandoravirus_inopinatum","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea","Pandoraea","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_apista","Pandoraea_apista","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_faecigallinarum","Pandoraea_faecigallinarum","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_fibrosis","Pandoraea_fibrosis","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_norimbergensis","Pandoraea_norimbergensis","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_oxalativorans","Pandoraea_oxalativorans","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pnomenusa","Pandoraea_pnomenusa","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pulmonicola","Pandoraea_pulmonicola","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sp._XY.2","Pandoraea_sp._XY.2","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum","Pandoraea_sputorum","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_thiooxydans","Pandoraea_thiooxydans","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_vervacti","Pandoraea_vervacti","k__Viruses.g__Pandoravirus.s__Pandoravirus_macleodensis","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea","Pandoraea","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_apista","Pandoraea_apista","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_faecigallinarum","Pandoraea_faecigallinarum","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_fibrosis","Pandoraea_fibrosis","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_norimbergensis","Pandoraea_norimbergensis","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_oxalativorans","Pandoraea_oxalativorans","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pnomenusa","Pandoraea_pnomenusa","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pulmonicola","Pandoraea_pulmonicola","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sp._XY.2","Pandoraea_sp._XY.2","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum","Pandoraea_sputorum","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_thiooxydans","Pandoraea_thiooxydans","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_vervacti","Pandoraea_vervacti","k__Viruses.g__Pandoravirus.s__Pandoravirus_neocaledonia","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea","Pandoraea","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_apista","Pandoraea_apista","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_faecigallinarum","Pandoraea_faecigallinarum","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_fibrosis","Pandoraea_fibrosis","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_norimbergensis","Pandoraea_norimbergensis","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_oxalativorans","Pandoraea_oxalativorans","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pnomenusa","Pandoraea_pnomenusa","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pulmonicola","Pandoraea_pulmonicola","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sp._XY.2","Pandoraea_sp._XY.2","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum","Pandoraea_sputorum","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_thiooxydans","Pandoraea_thiooxydans","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_vervacti","Pandoraea_vervacti","k__Viruses.g__Pandoravirus.s__Pandoravirus_quercus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea","Pandoraea","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_apista","Pandoraea_apista","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_faecigallinarum","Pandoraea_faecigallinarum","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_fibrosis","Pandoraea_fibrosis","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_norimbergensis","Pandoraea_norimbergensis","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_oxalativorans","Pandoraea_oxalativorans","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pnomenusa","Pandoraea_pnomenusa","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_pulmonicola","Pandoraea_pulmonicola","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sp._XY.2","Pandoraea_sp._XY.2","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_sputorum","Pandoraea_sputorum","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_thiooxydans","Pandoraea_thiooxydans","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Pandoraea.s__Pandoraea_vervacti","Pandoraea_vervacti","k__Viruses.g__Pandoravirus.s__Pandoravirus_salinus","Pandora"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora","Micromonospora","k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1","Micromo"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_aurantiaca","Micromonospora_aurantiaca","k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1","Micromo"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_auratinigra","Micromonospora_auratinigra","k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1","Micromo"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_carbonacea","Micromonospora_carbonacea","k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1","Micromo"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_chokoriensis","Micromonospora_chokoriensis","k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1","Micromo"
"k__Bacteria.p__Actinobacteria.c__Actinomycetia.o__Micromonosporales.f__Micromonosporaceae.g__Micromonospora.s__Micromonospora_coriariae","Micromonospora_coriariae","k__Viruses.k__Bamfordvirae.p__Nucleocytoviricota.c__Megaviricetes.o__Algavirales.f__Phycodnaviridae.g__Prasinovirus.s__Micromonas_sp._RCC1109_virus_MpV1","Micromo"
