sample,time,treatment
L1HGH010557,D0,CON
L1HGH010558,D0,CON
L1HGH010559,D0,CON
L1HGH010560,D0,CON
L1HGH010561,D0,CON
L1HGH010562,D10,CON
L1HGH010563,D10,CON
L1HGH010564,D10,CON
L1HGH010565,D10,CON
L1HGH010566,D10,CON
L1HGH010567,D14,CON
L1HGH010568,D14,CON
L1HGH010569,D14,CON
L1HGH010570,D14,CON
L1HGH010571,D14,CON
L1HGH010572,D18,CON
L1HGH010573,D18,CON
L1HGH010574,D18,CON
L1HGH010575,D18,CON
L1HGH010576,D18,CON
L1HGH010577,D18,CON
L1EHE1100144,D0,HFD
L1EHE1100145,D0,HFD
L1EHE1100146,D0,HFD
L1EHE1100147,D0,HFD
L1EHE1100148,D10,HFD
L1EHE1100149,D10,HFD
L1EHE1100150,D10,HFD
L1EHE1100151,D10,HFD
L1EHE1100152,D10,HFD
L1EHE1100153,D10,HFD
L1EHE1100154,D14,HFD
L1EHE1100155,D14,HFD
L1EHE1100156,D14,HFD
L1EHE1100157,D14,HFD
L1EHE1100158,D18,HFD
L1EHE1100159,D18,HFD
L1EHE1100160,D18,HFD
L1EGH020932,D0,FUC
L1EGH020933,D0,FUC
L1EGH020934,D0,FUC
L1EGH020935,D0,FUC
L1EGH020936,D0,FUC
L1EGH020937,D10,FUC
L1EGH020938,D10,FUC
L1EGH020939,D10,FUC
L1EGH020941,D10,FUC
L1EGH020942,D14,FUC
L1EGH020943,D14,FUC
L1EGH020944,D14,FUC
L1EGH020945,D14,FUC
L1EGH020946,D14,FUC
L1EGH020947,D18,FUC
L1EGH020948,D18,FUC
L1EGH020949,D18,FUC
L1EGH020950,D18,FUC
L1EGH020951,D18,FUC
