"Cluster_name","Bacteria_Host","Lineage"
"Cluster 0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;","Parabacteroides"
"Cluster 1","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;","Parabacteroides"
"Cluster 10",";;;;;;","unclassfied_genus__1"
"Cluster 100",";;;;;;","unclassfied_genus__2"
"Cluster 10000",";;;;;;","unclassfied_genus__3"
"Cluster 10002",";;;;;;","unclassfied_genus__4"
"Cluster 10003","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;","NM07-P-09"
"Cluster 10006",";;;;;;","unclassfied_genus__5"
"Cluster 10007",";;;;;;","unclassfied_genus__6"
"Cluster 10009",";;;;;;","unclassfied_genus__7"
"Cluster 10011",";;;;;;","unclassfied_genus__8"
"Cluster 10012",";;;;;;","unclassfied_genus__9"
"Cluster 10013",";;;;;;","unclassfied_genus__10"
"Cluster 10015",";;;;;;","unclassfied_genus__11"
"Cluster 10016",";;;;;;","unclassfied_genus__12"
"Cluster 10017",";;;;;;","unclassfied_genus__13"
"Cluster 1002","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;","Intestinimonas"
"Cluster 10020",";;;;;;","unclassfied_genus__14"
"Cluster 10023","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__15"
"Cluster 10024",";;;;;;","unclassfied_genus__16"
"Cluster 10025","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;","Eubacterium_F"
"Cluster 10026",";;;;;;","unclassfied_genus__17"
"Cluster 10027",";;;;;;","unclassfied_genus__18"
"Cluster 10028",";;;;;;","unclassfied_genus__19"
"Cluster 10030",";;;;;;","unclassfied_genus__20"
"Cluster 10031","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__21"
"Cluster 10034",";;;;;;","unclassfied_genus__22"
"Cluster 10036","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__23"
"Cluster 10038","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;;","unclassfied_genus__24"
"Cluster 1004",";;;;;;","unclassfied_genus__25"
"Cluster 10040",";;;;;;","unclassfied_genus__26"
"Cluster 10044","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;;","unclassfied_genus__27"
"Cluster 10045",";;;;;;","unclassfied_genus__28"
"Cluster 10046",";;;;;;","unclassfied_genus__29"
"Cluster 10047","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;","Hungatella"
"Cluster 10049","d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;","Desulfovibrio"
"Cluster 1005","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__30"
"Cluster 10052","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__31"
"Cluster 10056","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__32"
"Cluster 1006",";;;;;;","unclassfied_genus__33"
"Cluster 10060","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__CAG-56 sp004793585","CAG-56"
"Cluster 10062","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__34"
"Cluster 10063","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__35"
"Cluster 10065","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__36"
"Cluster 10067",";;;;;;","unclassfied_genus__37"
"Cluster 10069","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__38"
"Cluster 1007",";;;;;;","unclassfied_genus__39"
"Cluster 10070",";;;;;;","unclassfied_genus__40"
"Cluster 10071","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__41"
"Cluster 10072","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__42"
"Cluster 10074",";;;;;;","unclassfied_genus__43"
"Cluster 10075","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__44"
"Cluster 10076",";;;;;;","unclassfied_genus__45"
"Cluster 10079","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Schaedlerella;s__Schaedlerella sp000403295","Schaedlerella"
"Cluster 1008","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;","Muribaculum"
"Cluster 10081","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__46"
"Cluster 10082",";;;;;;","unclassfied_genus__47"
"Cluster 10083","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__48"
"Cluster 10087",";;;;;;","unclassfied_genus__49"
"Cluster 10088",";;;;;;","unclassfied_genus__50"
"Cluster 1009","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__51"
"Cluster 10090","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10093","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;","Collinsella"
"Cluster 10095",";;;;;;","unclassfied_genus__52"
"Cluster 10096",";;;;;;","unclassfied_genus__53"
"Cluster 10099","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__54"
"Cluster 101",";;;;;;","unclassfied_genus__55"
"Cluster 10100",";;;;;;","unclassfied_genus__56"
"Cluster 10102","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10103",";;;;;;","unclassfied_genus__57"
"Cluster 10104",";;;;;;","unclassfied_genus__58"
"Cluster 10106",";;;;;;","unclassfied_genus__59"
"Cluster 10107",";;;;;;","unclassfied_genus__60"
"Cluster 10109",";;;;;;","unclassfied_genus__61"
"Cluster 1011","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;;","unclassfied_genus__62"
"Cluster 10110","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__63"
"Cluster 10112",";;;;;;","unclassfied_genus__64"
"Cluster 10113",";;;;;;","unclassfied_genus__65"
"Cluster 10115",";;;;;;","unclassfied_genus__66"
"Cluster 10117",";;;;;;","unclassfied_genus__67"
"Cluster 10118","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__68"
"Cluster 10119","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381;f__UBA1381;g__CAG-41;","CAG-41"
"Cluster 1012",";;;;;;","unclassfied_genus__69"
"Cluster 10120",";;;;;;","unclassfied_genus__70"
"Cluster 10122","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;","UBA7173"
"Cluster 10123","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__71"
"Cluster 10124","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10125","d__Bacteria;p__Bacteroidota;;;;;","unclassfied_genus__72"
"Cluster 10126","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__73"
"Cluster 10127","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp003611875","Ventrimonas"
"Cluster 1013",";;;;;;","unclassfied_genus__74"
"Cluster 10130","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__75"
"Cluster 10131","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;","CAG-170"
"Cluster 10132",";;;;;;","unclassfied_genus__76"
"Cluster 10133",";;;;;;","unclassfied_genus__77"
"Cluster 10138","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__78"
"Cluster 10139",";;;;;;","unclassfied_genus__79"
"Cluster 1014",";;;;;;","unclassfied_genus__80"
"Cluster 10140","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;","Lawsonibacter"
"Cluster 10142",";;;;;;","unclassfied_genus__81"
"Cluster 10145",";;;;;;","unclassfied_genus__82"
"Cluster 10146","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__83"
"Cluster 10147","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;;","unclassfied_genus__84"
"Cluster 10148","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__85"
"Cluster 10149","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q;","Clostridium_Q"
"Cluster 1015","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__86"
"Cluster 10151",";;;;;;","unclassfied_genus__87"
"Cluster 10152","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__88"
"Cluster 10153",";;;;;;","unclassfied_genus__89"
"Cluster 10154",";;;;;;","unclassfied_genus__90"
"Cluster 10156","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-170;","CAG-170"
"Cluster 10157",";;;;;;","unclassfied_genus__91"
"Cluster 1016","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__92"
"Cluster 10160","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__93"
"Cluster 10161",";;;;;;","unclassfied_genus__94"
"Cluster 10164",";;;;;;","unclassfied_genus__95"
"Cluster 10165","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__96"
"Cluster 10167","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;","Lawsonibacter"
"Cluster 10168",";;;;;;","unclassfied_genus__97"
"Cluster 1017","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__98"
"Cluster 10171","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor muris","Acetatifactor"
"Cluster 10172","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__CAG-56 sp004793585","CAG-56"
"Cluster 10173","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus sp003612625","Anaerotruncus"
"Cluster 10175","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;","Roseburia"
"Cluster 10176",";;;;;;","unclassfied_genus__99"
"Cluster 10177",";;;;;;","unclassfied_genus__100"
"Cluster 10178",";;;;;;","unclassfied_genus__101"
"Cluster 10179",";;;;;;","unclassfied_genus__102"
"Cluster 1018","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__103"
"Cluster 10184","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;;","unclassfied_genus__104"
"Cluster 10185","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__105"
"Cluster 10186","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;;","unclassfied_genus__106"
"Cluster 10187","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__107"
"Cluster 10189","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;","CAG-353"
"Cluster 1019",";;;;;;","unclassfied_genus__108"
"Cluster 10195",";;;;;;","unclassfied_genus__109"
"Cluster 10196",";;;;;;","unclassfied_genus__110"
"Cluster 10197","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__111"
"Cluster 10198","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 102",";;;;;;","unclassfied_genus__112"
"Cluster 10201",";;;;;;","unclassfied_genus__113"
"Cluster 10202","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;","Faecalimonas"
"Cluster 10204",";;;;;;","unclassfied_genus__114"
"Cluster 10205","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp003612395","CAG-95"
"Cluster 10206",";;;;;;","unclassfied_genus__115"
"Cluster 10208","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;;;","unclassfied_genus__116"
"Cluster 10209","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;","Enterocloster"
"Cluster 10210","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__117"
"Cluster 10214",";;;;;;","unclassfied_genus__118"
"Cluster 10215",";;;;;;","unclassfied_genus__119"
"Cluster 10216",";;;;;;","unclassfied_genus__120"
"Cluster 10217","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__121"
"Cluster 10218","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp003611875","Ventrimonas"
"Cluster 1022",";;;;;;","unclassfied_genus__122"
"Cluster 10220",";;;;;;","unclassfied_genus__123"
"Cluster 10221","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__124"
"Cluster 10222","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__125"
"Cluster 10223","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;;;","unclassfied_genus__126"
"Cluster 10224",";;;;;;","unclassfied_genus__127"
"Cluster 10226",";;;;;;","unclassfied_genus__128"
"Cluster 10227",";;;;;;","unclassfied_genus__129"
"Cluster 1023",";;;;;;","unclassfied_genus__130"
"Cluster 10230",";;;;;;","unclassfied_genus__131"
"Cluster 10233","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__132"
"Cluster 10234",";;;;;;","unclassfied_genus__133"
"Cluster 10235",";;;;;;","unclassfied_genus__134"
"Cluster 10239","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__Anaerotruncus colihominis","Anaerotruncus"
"Cluster 10240",";;;;;;","unclassfied_genus__135"
"Cluster 10241",";;;;;;","unclassfied_genus__136"
"Cluster 10243",";;;;;;","unclassfied_genus__137"
"Cluster 10245","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;;","unclassfied_genus__138"
"Cluster 10246","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56;s__CAG-56 sp004793585","CAG-56"
"Cluster 10247",";;;;;;","unclassfied_genus__139"
"Cluster 10248","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;;","unclassfied_genus__140"
"Cluster 10249","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Coprobacillaceae;g__Erysipelatoclostridium;","Erysipelatoclostridium"
"Cluster 1025","d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__NM07-P-09;","NM07-P-09"
"Cluster 10251",";;;;;;","unclassfied_genus__141"
"Cluster 10257",";;;;;;","unclassfied_genus__142"
"Cluster 10258","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp009911595","Lawsonibacter"
"Cluster 10259",";;;;;;","unclassfied_genus__143"
"Cluster 1026",";;;;;;","unclassfied_genus__144"
"Cluster 10261","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;;;","unclassfied_genus__145"
"Cluster 10262","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__146"
"Cluster 10263",";;;;;;","unclassfied_genus__147"
"Cluster 10267",";;;;;;","unclassfied_genus__148"
"Cluster 1027","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;;","unclassfied_genus__149"
"Cluster 10271",";;;;;;","unclassfied_genus__150"
"Cluster 10272",";;;;;;","unclassfied_genus__151"
"Cluster 10273","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;;","unclassfied_genus__152"
"Cluster 10276","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__153"
"Cluster 10277","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__154"
"Cluster 10278","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;","Anaerotruncus"
"Cluster 1028",";;;;;;","unclassfied_genus__155"
"Cluster 10280","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__156"
"Cluster 10282",";;;;;;","unclassfied_genus__157"
"Cluster 10283","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__158"
"Cluster 10286",";;;;;;","unclassfied_genus__159"
"Cluster 10287","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp003612555","Acutalibacter"
"Cluster 10288",";;;;;;","unclassfied_genus__160"
"Cluster 1029",";;;;;;","unclassfied_genus__161"
"Cluster 10293",";;;;;;","unclassfied_genus__162"
"Cluster 10295","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__1XD42-69;s__1XD42-69 sp003612565","1XD42-69"
"Cluster 10297",";;;;;;","unclassfied_genus__163"
"Cluster 10299",";;;;;;","unclassfied_genus__164"
"Cluster 103","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__165"
"Cluster 1030","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;;;","unclassfied_genus__166"
"Cluster 10302","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter;s__Dysosmobacter sp000403435","Dysosmobacter"
"Cluster 10305","d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas_C;","Selenomonas_C"
"Cluster 1031","d__Bacteria;p__Firmicutes_A;c__Clostridia;;;;","unclassfied_genus__167"
"Cluster 10310",";;;;;;","unclassfied_genus__168"
"Cluster 10312",";;;;;;","unclassfied_genus__169"
"Cluster 10314","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__170"
"Cluster 10316",";;;;;;","unclassfied_genus__171"
"Cluster 10317",";;;;;;","unclassfied_genus__172"
"Cluster 10319",";;;;;;","unclassfied_genus__173"
"Cluster 1032","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__174"
"Cluster 10323",";;;;;;","unclassfied_genus__175"
"Cluster 10324","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;;","unclassfied_genus__176"
"Cluster 10325",";;;;;;","unclassfied_genus__177"
"Cluster 10327","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;;","unclassfied_genus__178"
"Cluster 10329","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;","Enterocloster"
