"Contig_number","Mapped_Reads_Number"
"NODE_550_length_12239_cov_5.021914||full",693
"NODE_22477_length_1054_cov_7.126126||full",119
"NODE_5686_length_2594_cov_2.969673||full",85
"NODE_12564_length_1506_cov_3.702274||full",72
"NODE_11556_length_1593_cov_2.998049||lt2gene",71
"NODE_20499_length_1116_cov_2.854854||full",28
"NODE_111_length_23778_cov_19.670067||full",4992
"NODE_1217_length_7443_cov_6.065512||full",482
"NODE_6280_length_2407_cov_4.001701||full",246
"NODE_6732_length_2294_cov_2.529254||full",60
"NODE_10772_length_1667_cov_2.362903||full",33
"NODE_21450_length_1087_cov_3.813953||full",33
"NODE_18383_length_1190_cov_4.447577||full",57
"NODE_1553_length_6423_cov_4.907820||full",334
"NODE_2381_length_4852_cov_16.155097||full",1567
"NODE_16526_length_1269_cov_18.250412||lt2gene",369
"NODE_16332_length_1278_cov_17.166803||full",176
"NODE_8360_length_1974_cov_3.420532||full",73
"NODE_14105_length_1401_cov_3.475483||full",87
"NODE_18655_length_1181_cov_2.150089||full",42
"NODE_21697_length_1080_cov_1.887805||full",21
"NODE_11085_length_1638_cov_2.899558||full",56
"NODE_12351_length_1523_cov_2.725477||full",46
"NODE_18506_length_1187_cov_0.953180||full",19
"NODE_2527_length_4657_cov_5.018688||full",445
"NODE_19523_length_1148_cov_8.035682||full",97
"NODE_10821_length_1663_cov_1.884328||full",34
"NODE_7396_length_2150_cov_3.581862||full",93
"NODE_18776_length_1176_cov_2.210526||full",58
"NODE_22097_length_1066_cov_3.220574||full",50
"NODE_7667_length_2090_cov_2.383292||full",60
"NODE_1185_length_7543_cov_6.973958||full",924
"NODE_301_length_16327_cov_5.870145||full",1062
"NODE_5635_length_2609_cov_5.927565||full",177
"NODE_10939_length_1650_cov_5.766144||full",573
"NODE_7710_length_2084_cov_2.664367||full",75
"NODE_10526_length_1695_cov_2.575610||full",54
"NODE_8574_length_1941_cov_2.952280||full",88
"NODE_8417_length_1965_cov_2.294241||full",60
"NODE_10875_length_1656_cov_4.913179||full",87
"NODE_17275_length_1236_cov_2.684166||lt2gene",36
"NODE_206_length_19439_cov_5.597916||full",1284
"NODE_12815_length_1488_cov_1.849965||lt2gene",57
"NODE_14840_length_1356_cov_1.858570||full",26
"NODE_15995_length_1293_cov_4.168821||full",63
"NODE_8491_length_1953_cov_3.119600||full",82
"NODE_195_length_19628_cov_16.249987||full",3343
"NODE_1710_length_6044_cov_14.479379||full",902
"NODE_13037_length_1472_cov_1.827805||full",29
"NODE_19110_length_1163_cov_3.204874||full",47
"NODE_6770_length_2286_cov_8.236217||full",187
"NODE_8401_length_1967_cov_3.618201||full",106
"NODE_16182_length_1286_cov_3.821284||lt2gene",49
"NODE_5991_length_2489_cov_10.458094||full",431
"NODE_737_length_10095_cov_8.344522||full",1049
"NODE_11799_length_1571_cov_3.328496||full",55
"NODE_16744_length_1260_cov_3.104564||full",39
"NODE_9707_length_1787_cov_2.701501||full",178
"NODE_20462_length_1117_cov_5.413371||full",102
"NODE_1879_length_5681_cov_5.660860||full_1",63
"NODE_4158_length_3257_cov_3.750468||full",218
"NODE_8033_length_2027_cov_46.451826||lt2gene",849
"NODE_1579_length_6367_cov_5.949303||full",408
"NODE_11013_length_1645_cov_3.328302||full",73
"NODE_16086_length_1290_cov_3.267206||full",56
"NODE_11847_length_1567_cov_2.562169||lt2gene",69
"NODE_17818_length_1211_cov_2.320934||lt2gene",56
"NODE_14205_length_1394_cov_3.038088||lt2gene",93
"NODE_15228_length_1334_cov_3.451916||full",46
"NODE_10947_length_1650_cov_2.948589||full",42
"NODE_7926_length_2044_cov_2.064857||full",47
"NODE_19387_length_1153_cov_3.322404||lt2gene",56
"NODE_9135_length_1856_cov_2.489728||lt2gene",62
"NODE_20156_length_1127_cov_1.923507||full",20
"NODE_5605_length_2625_cov_2.707004||full",74
"NODE_14358_length_1385_cov_2.145113||full",40
"NODE_2780_length_4337_cov_4.585708||full",218
"NODE_3367_length_3785_cov_7.102681||full",290
"NODE_19900_length_1136_cov_1.567068||lt2gene",18
"NODE_15311_length_1329_cov_7.831240||full",110
"NODE_14376_length_1383_cov_4.454066||lt2gene",81
"NODE_12143_length_1542_cov_3.098857||full",48
"NODE_18279_length_1194_cov_2.844601||lt2gene",38
"NODE_20168_length_1126_cov_3.790850||full",56
"NODE_18593_length_1183_cov_4.305851||full",51
"NODE_22401_length_1057_cov_2.874251||lt2gene",44
"NODE_8557_length_1944_cov_1.892006||full",55
"NODE_22872_length_1044_cov_1.590495||full",23
"NODE_1732_length_6010_cov_6.704786||full",1330
"NODE_13405_length_1446_cov_5.173976||full",77
"NODE_7780_length_2071_cov_10.314980||full",272
"NODE_7096_length_2212_cov_3.463607||full",104
"NODE_6760_length_2288_cov_2.482311||full",60
"NODE_12423_length_1517_cov_3.400821||lt2gene",58
"NODE_2784_length_4335_cov_4.198364||full",331
"NODE_5178_length_2792_cov_11.034344||full",324
"NODE_13354_length_1450_cov_2.692473||full",66
"NODE_6519_length_2343_cov_2.660402||full",70
"NODE_7940_length_2041_cov_4.266868||full",145
"NODE_10706_length_1673_cov_4.438195||full",72
"NODE_19921_length_1135_cov_1.971296||lt2gene",23
"NODE_2010_length_5446_cov_8.437952||full",604
"NODE_3407_length_3753_cov_4.029205||full",166
"NODE_2059_length_5356_cov_5.055084||full",300
"NODE_2830_length_4293_cov_5.122463||full",258
"NODE_8397_length_1968_cov_3.211709||full",64
"NODE_14686_length_1364_cov_3.666921||lt2gene",50
"NODE_3503_length_3670_cov_11.931120||full",660
"NODE_6968_length_2239_cov_2.545330||lt2gene",96
"NODE_1239_length_7371_cov_5.323537||full",425
"NODE_5163_length_2797_cov_4.752735||full",196
"NODE_21890_length_1073_cov_3.256385||full",57
"NODE_12674_length_1498_cov_2.195426||full",46
"NODE_23729_length_1021_cov_2.266046||full",13
"NODE_7217_length_2190_cov_2.343794||full",58
"NODE_20990_length_1101_cov_2.358509||full",41
"NODE_4848_length_2929_cov_3.026096||full",105
"NODE_24485_length_1001_cov_5.672304||full",63
"NODE_3990_length_3351_cov_4.095267||full",188
