"KEGG.Entry","Metabolism","Pathway","Total.AMGs","Present.AMG.KOs","Sample_id"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis",2,"K03737,K04072","L1EGH020932"
"map00020","Carbohydrate metabolism","Citrate cycle (TCA cycle)",1,"K03737","L1EGH020932"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions",1,"K00012","L1EGH020932"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism",4,"K00966,K01218,K01711,K02377","L1EGH020932"
"map00052","Carbohydrate metabolism","Galactose metabolism",2,"K01784","L1EGH020932"
"map00053","Carbohydrate metabolism","Ascorbate and aldarate metabolism",1,"K00012","L1EGH020932"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism",1,"K01208","L1EGH020932"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism",7,"K00012,K00966,K01711,K01784,K02377,K12373","L1EGH020932"
"map00620","Carbohydrate metabolism","Pyruvate metabolism",2,"K03737,K04072","L1EGH020932"
"map00650","Carbohydrate metabolism","Butanoate metabolism",3,"K01652,K03737,K04072","L1EGH020932"
"map00660","Carbohydrate metabolism","C5-Branched dibasic acid metabolism",1,"K01652","L1EGH020932"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes",1,"K03737","L1EGH020932"
"map00920","Energy metabolism","Sulfur metabolism",20,"K00390","L1EGH020932"
"map00071","Lipid metabolism","Fatty acid degradation",1,"K04072","L1EGH020932"
"map00120","Lipid metabolism","Primary bile acid biosynthesis",1,"K01442","L1EGH020932"
"map00121","Lipid metabolism","Secondary bile acid biosynthesis",1,"K01442","L1EGH020932"
"map00230","Nucleotide metabolism","Purine metabolism",2,"K01951","L1EGH020932"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism",2,"K01914,K01953","L1EGH020932"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism",26,"K00558,K17398","L1EGH020932"
"map00290","Amino acid metabolism","Valine, leucine and isoleucine biosynthesis",1,"K01652","L1EGH020932"
"map00350","Amino acid metabolism","Tyrosine metabolism",1,"K04072","L1EGH020932"
"map00400","Amino acid metabolism","Phenylalanine, tyrosine and tryptophan biosynthesis",1,"K01736","L1EGH020932"
