"","Abundance.mgp6153.Chow_diet.Diet1.Nutrition1","Abundance.mgp6153.High_fat_diet.Diet1.Nutrition1","Abundance.mgp6153.Nutrition1","Abundance.PRJDB1459.Nutrition1","Abundance.PRJEB11419.Asia.Continent.Nutrition1","Abundance.PRJEB11419.Elderly_people.Age2.Nutrition1","Abundance.PRJEB11419.Europe.Continent.Nutrition1","Abundance.PRJEB11419.Middle_age.Age2.Nutrition1","Abundance.PRJEB11419.NA.Age2.Nutrition1","Abundance.PRJEB11419.NA.Diet1.Nutrition1","Abundance.PRJEB11419.North_America.Continent.Nutrition1","Abundance.PRJEB11419.Nutrition1","Abundance.PRJEB11419.Omnivores.Diet1.Nutrition1","Abundance.PRJEB11419.Philippines.Country.Nutrition1","Abundance.PRJEB11419.United_Kingdom.Country.Nutrition1","Abundance.PRJEB11419.United_States.Country.Nutrition1","Abundance.PRJEB11419.Vegatarian.Diet1.Nutrition1","Abundance.PRJEB11419.Youth.Age2.Nutrition1","Abundance.PRJEB35524.Low_calorie_diet.Diet1.Nutrition1","Abundance.PRJEB35524.Nutrition1","Abundance.PRJEB35769.Nutrition1","Abundance.PRJEB36943.NA.Diet1.Nutrition1","Abundance.PRJEB36943.Nutrition1","Abundance.PRJEB41867.male.Sex.Nutrition1","Abundance.PRJEB41867.NA.Diease2.Nutrition1","Abundance.PRJEB41867.Nutrition1","Abundance.PRJEB41867.Obesity.Diease2.Nutrition1","Abundance.PRJEB41867.Omnivores.Diet1.Nutrition1","Abundance.PRJEB41867.Vegatarian.Diet1.Nutrition1","Abundance.PRJEB48605.Nutrition1","Abundance.PRJNA290729.Nutrition1","Abundance.PRJNA340931.Nutrition1","Abundance.PRJNA429990.Nutrition1","Abundance.PRJNA448009.female.Sex.Nutrition1","Abundance.PRJNA448009.male.Sex.Nutrition1","Abundance.PRJNA448009.Nutrition1","Abundance.PRJNA473126.Breastmilk.Diet1.Nutrition1","Abundance.PRJNA473126.female.Sex.Nutrition1","Abundance.PRJNA473126.Formula.Diet1.Nutrition1","Abundance.PRJNA473126.male.Sex.Nutrition1","Abundance.PRJNA473126.N.Antibiotic.Nutrition1","Abundance.PRJNA473126.Nutrition1","Abundance.PRJNA473126.Y.Antibiotic.Nutrition1","Abundance.PRJNA482729.female.Sex.Nutrition1","Abundance.PRJNA482729.Healthy.Diease2.Nutrition1","Abundance.PRJNA482729.male.Sex.Nutrition1","Abundance.PRJNA482729.Nutrition1","Abundance.PRJNA482729.stunted.Diease2.Nutrition1","Abundance.PRJNA515074.N.Antibiotic.Nutrition1","Abundance.PRJNA515074.Nutrition1","Abundance.PRJNA515074.Y.Antibiotic.Nutrition1","Abundance.PRJNA549182.Nutrition1","Abundance.PRJNA576024.Chow_diet.Diet1.Nutrition1","Abundance.PRJNA576024.High_fat_diet.Diet1.Nutrition1","Abundance.PRJNA576024.Nutrition1","Abundance.PRJNA612367.Nutrition1","Abundance.PRJNA615253.High_fat_diet.Diet1.Nutrition1","Abundance.PRJNA615253.Nutrition1","Abundance.PRJNA631099.Nutrition1","Abundance.PRJNA675102.2.Nutrition1","Abundance.PRJNA675102.Nutrition1","Abundance.PRJNA694540.Nutrition1","Abundance.PRJNA704567.Nutrition1","Abundance.PRJNA718322.Nutrition1","Abundance.PRJNA731974.Nutrition1","Abundance.PRJNA746613.Nutrition1","Abundance.PRJNA753725.Chow_diet.Diet1.Nutrition1","Abundance.PRJNA753725.High_fat_diet.Diet1.Nutrition1","Abundance.PRJNA753725.High_protein_diet.Diet1.Nutrition1","Abundance.PRJNA753725.High_sugar_diet.Diet1.Nutrition1","Abundance.PRJNA753725.Nutrition1","Abundance.PRJNA766048.Nutrition1","Abundance.PRJNA770295.Nutrition1","Abundance.PRJNA771420.High_fat_diet.Diet1.Nutrition1","Abundance.PRJNA771420.Nutrition1","Abundance.PRJNA773205.High_fat_diet.Diet1.Nutrition1","Abundance.PRJNA773205.Nutrition1","Abundance.PRJNA788383.Low_calorie_diet.Diet1.Nutrition1","Abundance.PRJNA788383.Nutrition1","Abundance.PRJNA832737.Nutrition1"
"k__Viruses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Viruses.c__Naldaviricetes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boiled/Distilled_Water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control",NA,NA,NA,"Amylin","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low_Milk"
"k__Viruses.c__Naldaviricetes.o__Lefavirales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boiled/Distilled_Water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control","Control",NA,NA,NA,"Amylin","Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low_Milk"
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boiled/Distilled_Water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low_Milk"
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Boiled/Distilled_Water",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Low_Milk"
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Agrotis_ipsilon_multiple_nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Apocheima_cinerarium_nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Catopsilia_pomona_nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Choristoneura_rosaceana_nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"k__Viruses.c__Naldaviricetes.o__Lefavirales.f__Baculoviridae.g__Alphabaculovirus.s__Chrysodeixis_chalcites_nucleopolyhedrovirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
