"Project","phylum","case","control","Diet","Diet2"
"Fucoidan.2","Klebsiella",0.034965034965035,0.0166666666666667,"High fat ","High fat "
"Fucoidan.2","Streptococcus",0.0155592935239697,0.103448275862069,"High fat ","High fat "
"Fucoidan.2","Lactobacillus",0.062111801242236,0.141304347826087,"High fat ","High fat "
"Fucoidan.2","crAssphage",0.0705882352941176,0.0285714285714286,"High fat ","High fat "
"Fucoidan.2","Pseudomonas",0.0377011494252874,0.105714285714286,"High fat ","High fat "
"Fucoidan.2","Clostridium",0,0.0263157894736842,"High fat ","High fat "
"Fucoidan.2","Enterococcus",0,0.0222222222222222,"High fat ","High fat "
"Fucoidan.2","Shigella",0.05,0.05,"High fat ","High fat "
"Fucoidan.2","Escherichia",0.130434782608696,0.104166666666667,"High fat ","High fat "
"Fucoidan.2","Bacteroides",0.0394736842105263,0.0666666666666667,"High fat ","High fat "
"Fucoidan.2","Enterobacter",0.0196078431372549,NA,"High fat ","High fat "
"Fucoidan.2","Lactococcus",0.064176245210728,0.51969696969697,"High fat ","High fat "
"mgp6153","Bacteroides",0,0,"High fat ","High fat "
"mgp6153","Lactobacillus",NA,0.0555555555555556,"High fat ","High fat "
"PRJEB10308","Escherichia",0,0,"High fat ","High fat "
"PRJEB10308","Streptococcus",0.0517241379310345,NA,"High fat ","High fat "
"PRJEB10308","crAssphage",1,0.333333333333333,"High fat ","High fat "
"PRJEB10308","Pseudomonas",0.125,0.0185185185185185,"High fat ","High fat "
"PRJEB10308","Lactobacillus",0.0434782608695652,NA,"High fat ","High fat "
"PRJEB10308","Enterococcus",0,NA,"High fat ","High fat "
"PRJEB10308","Bacteroides",0.431818181818182,0.238636363636364,"High fat ","High fat "
"PRJEB11419","Enterobacter",0.882352941176471,0.348039215686274,"Vegatarian","Vegatarian"
"PRJEB11419","Lactobacillus",0.28695652173913,0.532608695652174,"Vegatarian","Vegatarian"
"PRJEB11419","Klebsiella",0.615384615384615,0.411605937921727,"Vegatarian","Vegatarian"
"PRJEB11419","Shigella",0.6,0.363636363636364,"Vegatarian","Vegatarian"
"PRJEB11419","crAssphage",0.419753086419753,0.813084112149533,"Vegatarian","Vegatarian"
"PRJEB11419","Bacteroides",0.20995670995671,0.664646464646465,"Vegatarian","Vegatarian"
"PRJEB11419","Pseudomonas",0.469483568075117,0.515037593984962,"Vegatarian","Vegatarian"
"PRJEB11419","Escherichia",0.333333333333333,0.325842696629214,"Vegatarian","Vegatarian"
"PRJEB11419","Lactococcus",0.35,0.367391304347826,"Vegatarian","Vegatarian"
"PRJEB11419","Citrobacter",0.111111111111111,0.611111111111111,"Vegatarian","Vegatarian"
"PRJEB11419","Enterococcus",NA,0.30976430976431,"Vegatarian","Vegatarian"
"PRJEB11419","Streptococcus",0.260119940029985,0.503578399479506,"Vegatarian","Vegatarian"
"PRJEB11419","Clostridium",0.171052631578947,0.231359649122807,"Vegatarian","Vegatarian"
"PRJEB15371","Escherichia",0.0175438596491228,0,"EEN ","EEN "
"PRJEB15371","Lactococcus",NA,0,"EEN ","EEN "
"PRJEB15371","Enterococcus",0,NA,"EEN ","EEN "
"PRJEB15371","Pseudomonas",0.2,NA,"EEN ","EEN "
"PRJEB15371","Enterobacter",0,0,"EEN ","EEN "
"PRJEB15371","Bacteroides",0.027972027972028,0.0234604105571848,"EEN ","EEN "
"PRJEB15371","crAssphage",0,0,"EEN ","EEN "
"PRJEB15371","Clostridium",0.0425101214574899,0,"EEN ","EEN "
"PRJEB15371","Streptococcus",0.170977011494253,0.0203761755485893,"EEN ","EEN "
"PRJEB15371","Klebsiella",0,0.12579185520362,"EEN ","EEN "
"PRJEB15371","Citrobacter",NA,0,"EEN ","EEN "
"PRJEB15371","Lactobacillus",0.0217391304347826,0.0826086956521739,"EEN ","EEN "
"PRJEB30307","Bacteroides",0.0371900826446281,0.0252525252525253,"High fiber ","High fiber "
"PRJEB30307","Pseudomonas",0.062962962962963,0.0242537313432836,"High fiber ","High fiber "
"PRJEB30307","Streptococcus",0,0,"High fiber ","High fiber "
"PRJEB30307","Citrobacter",NA,0,"High fiber ","High fiber "
"PRJEB30307","Klebsiella",0,0,"High fiber ","High fiber "
"PRJEB30307","crAssphage",0,0.117647058823529,"High fiber ","High fiber "
"PRJEB30307","Escherichia",0,0,"High fiber ","High fiber "
"PRJEB30307","Shigella",0.2,0,"High fiber ","High fiber "
"PRJEB30307","Lactococcus",0.00740740740740741,0,"High fiber ","High fiber "
"PRJEB30307","Lactobacillus",0.0608695652173913,0.0144927536231884,"High fiber ","High fiber "
"PRJEB30307","Enterobacter",NA,0,"High fiber ","High fiber "
"PRJEB30307.2","Bacteroides",0.0371900826446281,0.0251196172248804,"High fiber ","High fiber "
"PRJEB30307.2","Klebsiella",0,0,"High fiber ","High fiber "
"PRJEB30307.2","Shigella",0.2,0,"High fiber ","High fiber "
"PRJEB30307.2","Lactococcus",0.00740740740740741,0,"High fiber ","High fiber "
"PRJEB30307.2","Clostridium",NA,0,"High fiber ","High fiber "
"PRJEB30307.2","Lactobacillus",0.0608695652173913,0,"High fiber ","High fiber "
"PRJEB30307.2","crAssphage",0,0,"High fiber ","High fiber "
"PRJEB30307.2","Pseudomonas",0.062962962962963,0.0258397932816537,"High fiber ","High fiber "
"PRJEB30307.2","Streptococcus",0,0.0021551724137931,"High fiber ","High fiber "
"PRJEB30307.2","Escherichia",0,0,"High fiber ","High fiber "
"PRJEB33500","Shigella",0.2,0.25,"Mediterranean ","Mediterranean "
"PRJEB33500","Enterobacter",0.0588235294117647,NA,"Mediterranean ","Mediterranean "
"PRJEB33500","Enterococcus",0,0.222222222222222,"Mediterranean ","Mediterranean "
"PRJEB33500","Clostridium",0.342105263157895,NA,"Mediterranean ","Mediterranean "
"PRJEB33500","Pseudomonas",0.107692307692308,0.26953125,"Mediterranean ","Mediterranean "
"PRJEB33500","Citrobacter",0.194444444444444,0.0277777777777778,"Mediterranean ","Mediterranean "
"PRJEB33500","Klebsiella",NA,0,"Mediterranean ","Mediterranean "
"PRJEB33500","Streptococcus",0.0758620689655172,0.078544061302682,"Mediterranean ","Mediterranean "
"PRJEB33500","Escherichia",0.444444444444444,0.0493827160493827,"Mediterranean ","Mediterranean "
"PRJEB33500","crAssphage",0.430379746835443,0.349397590361446,"Mediterranean ","Mediterranean "
"PRJEB33500","Bacteroides",0.408033826638478,0.37396694214876,"Mediterranean ","Mediterranean "
"PRJEB33500","Lactobacillus",0.206521739130435,0.22360248447205,"Mediterranean ","Mediterranean "
"PRJEB33500","Lactococcus",0.1,0.2625,"Mediterranean ","Mediterranean "
"PRJEB35587","Enterococcus",0.4375,NA,"EEN ","EEN "
"PRJEB35587","Lactococcus",0.0208333333333333,NA,"EEN ","EEN "
"PRJEB35587","Enterobacter",0,NA,"EEN ","EEN "
"PRJEB35587","Shigella",0,NA,"EEN ","EEN "
"PRJEB35587","Klebsiella",0.269230769230769,NA,"EEN ","EEN "
"PRJEB35587","Pseudomonas",0.226415094339623,NA,"EEN ","EEN "
"PRJEB35587","Streptococcus",0.633928571428571,NA,"EEN ","EEN "
"PRJEB35587","Bacteroides",0.207792207792208,0,"EEN ","EEN "
"PRJEB35587","Escherichia",0,NA,"EEN ","EEN "
"PRJEB41867","Bacteroides",0.0215311004784689,0.0552825552825553,"Vegatarian","Vegatarian"
"PRJEB41867","Enterococcus",NA,0,"Vegatarian","Vegatarian"
"PRJEB41867","Streptococcus",0.0175438596491228,0.0344827586206897,"Vegatarian","Vegatarian"
"PRJEB41867","Enterobacter",0.117647058823529,NA,"Vegatarian","Vegatarian"
"PRJEB41867","Escherichia",0,0,"Vegatarian","Vegatarian"
"PRJEB41867","Lactococcus",0,0.0416666666666667,"Vegatarian","Vegatarian"
"PRJEB41867","Klebsiella",0,NA,"Vegatarian","Vegatarian"
"PRJEB41867","crAssphage",0,0.0289855072463768,"Vegatarian","Vegatarian"
"PRJEB41867","Lactobacillus",0.0909090909090909,0.0454545454545455,"Vegatarian","Vegatarian"
"PRJEB41867","Pseudomonas",0.0344827586206897,0.00840336134453781,"Vegatarian","Vegatarian"
"PRJEB43147","Lactococcus",0,0.191304347826087,"Mediterranean ","Mediterranean "
"PRJEB43147","Escherichia",0,NA,"Mediterranean ","Mediterranean "
"PRJEB43147","Bacteroides",0.0881542699724518,0.0668449197860963,"Mediterranean ","Mediterranean "
"PRJEB44237","Enterobacter",NA,0,"Mediterranean ","Mediterranean "
"PRJEB44237","Enterococcus",0,0.0185185185185185,"Mediterranean ","Mediterranean "
"PRJEB44237","Bacteroides",0.0598669623059867,0.0584415584415584,"Mediterranean ","Mediterranean "
"PRJEB44237","Klebsiella",0,0,"Mediterranean ","Mediterranean "
"PRJEB44237","Lactobacillus",NA,0,"Mediterranean ","Mediterranean "
"PRJEB44237","Streptococcus",0,0.00928381962864721,"Mediterranean ","Mediterranean "
"PRJEB44237","Pseudomonas",0.075,0.0833333333333333,"Mediterranean ","Mediterranean "
"PRJEB44237","Escherichia",0,0.0208333333333333,"Mediterranean ","Mediterranean "
"PRJEB44237","crAssphage",0.0533333333333333,0.0897435897435897,"Mediterranean ","Mediterranean "
"PRJEB44237","Lactococcus",0.0238095238095238,0.106293706293706,"Mediterranean ","Mediterranean "
"PRJEB44237","Clostridium",0,0,"Mediterranean ","Mediterranean "
"PRJEB44237","Shigella",0,0,"Mediterranean ","Mediterranean "
"PRJEB45944","Enterobacter",0.264705882352941,0.0130718954248366,"Vegatarian","Vegatarian"
"PRJEB45944","Bacteroides",0.0609504132231405,0.0595959595959596,"Vegatarian","Vegatarian"
