"KEGG.Entry","Metabolism","Pathway","Total.AMGs","Present.AMG.KOs","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00030","Carbohydrate metabolism","Pentose phosphate pathway","1","K01808","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions","1","K00012","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism","1","K01808","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00052","Carbohydrate metabolism","Galactose metabolism","2","K01784,K01854","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00053","Carbohydrate metabolism","Ascorbate and aldarate metabolism","1","K00012","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism","4","K00012,K00820,K01784,K01854","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00630","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism","1","K00048","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00640","Carbohydrate metabolism","Propanoate metabolism","1","K00048","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00710","Energy metabolism","Carbon fixation in photosynthetic organisms","1","K01808","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00920","Energy metabolism","Sulfur metabolism","1","K00390","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00561","Lipid metabolism","Glycerolipid metabolism","1","K00864","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00230","Nucleotide metabolism","Purine metabolism","1","K00764","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism","2","K00764,K00820","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism","5","K00558","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism","1","K21064","VIBRANT_AMG_pathways_ERR3015715.tsv"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism","1","K22227","VIBRANT_AMG_pathways_ERR3015715.tsv"
"KEGG Entry","Metabolism","Pathway","Total AMGs","Present AMG KOs","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00040","Carbohydrate metabolism","Pentose and glucuronate interconversions","2","K00012,K00963","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00051","Carbohydrate metabolism","Fructose and mannose metabolism","1","K01218","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00052","Carbohydrate metabolism","Galactose metabolism","1","K00963","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00053","Carbohydrate metabolism","Ascorbate and aldarate metabolism","1","K00012","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00500","Carbohydrate metabolism","Starch and sucrose metabolism","1","K00963","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00520","Carbohydrate metabolism","Amino sugar and nucleotide sugar metabolism","5","K00012,K00820,K00963,K01209","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00620","Carbohydrate metabolism","Pyruvate metabolism","2","K01759,K12972","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00630","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism","3","K01432,K12972","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes","1","K01491","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00920","Energy metabolism","Sulfur metabolism","2","K00299,K00390","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00061","Lipid metabolism","Fatty acid biosynthesis","1","K00059","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00120","Lipid metabolism","Primary bile acid biosynthesis","1","K01442","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00121","Lipid metabolism","Secondary bile acid biosynthesis","1","K01442","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism","2","K00820","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism","1","K12972","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism","5","K00558,K00789","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00380","Amino acid metabolism","Tryptophan metabolism","2","K01432","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00440","Metabolism of other amino acids","Phosphonate and phosphinate metabolism","1","K06167","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis","1","K07260","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00740","Metabolism of cofactors and vitamins","Riboflavin metabolism","2","K00299,K21064","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism","5","K00763,K00952,K01950,K08281,K13522","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00780","Metabolism of cofactors and vitamins","Biotin metabolism","1","K00059","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00670","Metabolism of cofactors and vitamins","One carbon pool by folate","1","K01491","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00130","Metabolism of cofactors and vitamins","Ubiquinone and other terpenoid-quinone biosynthesis","1","K00568","VIBRANT_AMG_pathways_ERR3015721.tsv"
"map00333","Biosynthesis of other secondary metabolites","Prodigiosin biosynthesis","1","K00059","VIBRANT_AMG_pathways_ERR3015721.tsv"
"KEGG Entry","Metabolism","Pathway","Total AMGs","Present AMG KOs","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00010","Carbohydrate metabolism","Glycolysis / Gluconeogenesis","1","K15634","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00630","Carbohydrate metabolism","Glyoxylate and dicarboxylate metabolism","1","K01091","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00720","Energy metabolism","Carbon fixation pathways in prokaryotes","1","K00198","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00680","Energy metabolism","Methane metabolism","2","K00198,K15634","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00920","Energy metabolism","Sulfur metabolism","7","K00390,K00957,K06881","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00120","Lipid metabolism","Primary bile acid biosynthesis","1","K01442","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00121","Lipid metabolism","Secondary bile acid biosynthesis","1","K01442","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00230","Nucleotide metabolism","Purine metabolism","1","K00957","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00250","Amino acid metabolism","Alanine, aspartate and glutamate metabolism","1","K01755","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00260","Amino acid metabolism","Glycine, serine and threonine metabolism","1","K15634","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00270","Amino acid metabolism","Cysteine and methionine metabolism","7","K00558,K00789","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00220","Amino acid metabolism","Arginine biosynthesis","1","K01755","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00450","Metabolism of other amino acids","Selenocompound metabolism","1","K00957","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00550","Glycan biosynthesis and metabolism","Peptidoglycan biosynthesis","1","K07258","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00760","Metabolism of cofactors and vitamins","Nicotinate and nicotinamide metabolism","1","K08281","VIBRANT_AMG_pathways_ERR3015725.tsv"
"map00860","Metabolism of cofactors and vitamins","Porphyrin and chlorophyll metabolism","1","K09883","VIBRANT_AMG_pathways_ERR3015725.tsv"
