"","Bact_p","Group","Count","Bioproject","Treat"
"1","Actinobacteria","PRJNA615253_nutrition-APS",2,"PRJNA615253","APS"
"2","Cyanobacteria","PRJNA615253_nutrition-APS",0,"PRJNA615253","APS"
"3","Firmicutes","PRJNA615253_nutrition-APS",1,"PRJNA615253","APS"
"4","Proteobacteria","PRJNA615253_nutrition-APS",3,"PRJNA615253","APS"
"5","Actinobacteria","PRJNA615253_nutrition-Control",0,"PRJNA615253","Control"
"6","Cyanobacteria","PRJNA615253_nutrition-Control",1,"PRJNA615253","Control"
"7","Firmicutes","PRJNA615253_nutrition-Control",0,"PRJNA615253","Control"
"8","Proteobacteria","PRJNA615253_nutrition-Control",3,"PRJNA615253","Control"
"9","Actinobacteria","PRJNA731974_nutrition-Control",0,"PRJNA731974","Control"
"10","Bacteroidetes","PRJNA731974_nutrition-Control",182,"PRJNA731974","Control"
"11","Firmicutes","PRJNA731974_nutrition-Control",0,"PRJNA731974","Control"
"12","Proteobacteria","PRJNA731974_nutrition-Control",35,"PRJNA731974","Control"
"13","Actinobacteria","PRJNA731974_nutrition-Inulin",3,"PRJNA731974","Inulin"
"14","Bacteroidetes","PRJNA731974_nutrition-Inulin",74,"PRJNA731974","Inulin"
"15","Firmicutes","PRJNA731974_nutrition-Inulin",1,"PRJNA731974","Inulin"
"16","Proteobacteria","PRJNA731974_nutrition-Inulin",0,"PRJNA731974","Inulin"
"17","Actinobacteria","mgp6153_nutrition-Control",9,"mgp6153","Control"
"18","Bacteroidetes","mgp6153_nutrition-Control",60,"mgp6153","Control"
"19","Deinococcus-Thermus","mgp6153_nutrition-Control",2,"mgp6153","Control"
"20","Firmicutes","mgp6153_nutrition-Control",37,"mgp6153","Control"
"21","Actinobacteria","mgp6153_nutrition-FOS",0,"mgp6153","FOS"
"22","Bacteroidetes","mgp6153_nutrition-FOS",46,"mgp6153","FOS"
"23","Deinococcus-Thermus","mgp6153_nutrition-FOS",0,"mgp6153","FOS"
"24","Firmicutes","mgp6153_nutrition-FOS",19,"mgp6153","FOS"
