"diet","Project","Diet2","dist","j"
"PRJEB33500-Baseline","PRJEB33500","Baseline",0.910689443421769,1
"PRJEB35524-Baseline","PRJEB35524","Baseline",0.919808764471651,1
"PRJEB35524.2-Baseline","PRJEB35524.2","Baseline",0.969688240318447,1
"PRJEB35524.3-Baseline","PRJEB35524.3","Baseline",0.962200397273944,1
"PRJEB35769-Baseline","PRJEB35769","Baseline",0.855332635693728,1
"PRJEB35769.2-Baseline","PRJEB35769.2","Baseline",0.866916737586006,1
"PRJEB44237-Baseline","PRJEB44237","Baseline",0.843732744340144,1
"PRJNA256106-Baseline","PRJNA256106","Baseline",0.941018199252417,1
"PRJNA395744-Baseline","PRJNA395744","Baseline",0.946250476930682,1
"PRJNA491335.1-Baseline","PRJNA491335.1","Baseline",0.920711490943007,1
"PRJNA491335.2-Baseline","PRJNA491335.2","Baseline",0.833586888583093,1
"PRJNA612367-Baseline","PRJNA612367","Baseline",0.889512576780775,1
"PRJNA743361.1-Baseline","PRJNA743361.1","Baseline",0.939570710041786,1
"PRJNA743361.2-Baseline","PRJNA743361.2","Baseline",0.958414535714998,1
"PRJNA746613-Baseline","PRJNA746613","Baseline",0.9609375,1
"PRJNA766048-Baseline","PRJNA766048","Baseline",0.95846394984326,1
"PRJNA766048.2-Baseline","PRJNA766048.2","Baseline",0.984318455971049,1
"PRJNA766048.3-Baseline","PRJNA766048.3","Baseline",0.969926551385114,1
"PRJNA746613-FOS","PRJNA746613","FOS",0.999630694853229,1
"PRJNA612367-High_fermented_diet","PRJNA612367","High_fermented_diet",0.90960193173682,1
"PRJNA743361.2-High_fermented_diet","PRJNA743361.2","High_fermented_diet",0.974356846473029,1
"PRJNA743361.1-High_fiber_diet","PRJNA743361.1","High_fiber_diet",0.903606896045005,1
"PRJNA491335.1-High_gluten_diet","PRJNA491335.1","High_gluten_diet",0.930527871503194,1
"PRJEB35524-Low_calorie_diet","PRJEB35524","Low_calorie_diet",0.948715636320469,1
"PRJNA491335.2-Low_gluten_diet","PRJNA491335.2","Low_gluten_diet",0.92238385619357,1
"PRJEB33500-Mediterranean_diet","PRJEB33500","Mediterranean_diet",0.889259175503954,1
"PRJEB44237-Mediterranean_diet","PRJEB44237","Mediterranean_diet",0.880337966472538,1
"PRJEB35524.3-Milk_protein_component","PRJEB35524.3","Milk_protein_component",0.949582477360955,1
"PRJEB35769-Probiotics","PRJEB35769","Probiotics",0.874199954759429,1
"PRJEB35769.2-Proprobiotics","PRJEB35769.2","Proprobiotics",0.850290768011104,1
"PRJNA766048-RRB","PRJNA766048","RRB",0.977544910179641,1
"PRJNA766048.2-RRB+FOS","PRJNA766048.2","RRB+FOS",0.893130235130276,1
"PRJNA766048.3-RRB+FOS_Washout","PRJNA766048.3","RRB+FOS_Washout",0.954209748892171,1
"PRJEB35524.2-Soybean_protein_component","PRJEB35524.2","Soybean_protein_component",0.934124720545951,1
"PRJNA395744-Whole_grain_diet","PRJNA395744","Whole_grain_diet",0.909465108235996,1
"PRJNA256106-WTP_diet","PRJNA256106","WTP_diet",0.915600176522507,1
"PRJEB33500-Baseline","PRJEB33500","Baseline",0.889737422436979,2
"PRJEB35524-Baseline","PRJEB35524","Baseline",0.936187174104562,2
"PRJEB35524.2-Baseline","PRJEB35524.2","Baseline",0.950143658050399,2
"PRJEB35524.3-Baseline","PRJEB35524.3","Baseline",0.956132900060162,2
