"Spe","Phylum","Group","Change","Bacteria"
"k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia","p__Actinobacteria","Con","GD0",0.000297183349875021
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium","p__Actinobacteria","HFD+Fuco","GD10",0.000131088464256893
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella","p__Actinobacteria","HFD+Fuco","GD10",0.001549106804924
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parafannyhessea","p__Actinobacteria","HFD+Fuco","GD10",0.000395503561870931
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella","p__Actinobacteria","HFD+Fuco","GD10",0.00139105418651323
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter","p__Actinobacteria","HFD+Fuco","GD10",0.000403717458972114
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella","p__Actinobacteria","HFD+Fuco","GD10",0.00147369725256974
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides","p__Bacteroidetes","HFD","GD0",0.012046647609447
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella","p__Bacteroidetes","HFD","GD0",0.000293294776218892
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae|g__Petrimonas","p__Bacteroidetes","Con","GD0",8.3913316291833e-05
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Duncaniella","p__Bacteroidetes","HFD","GD0",0.00646738640686756
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Muribaculum","p__Bacteroidetes","HFD","GD0",0.00617509464252886
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Muribaculaceae|g__Sodaliphilus","p__Bacteroidetes","HFD","GD0",0.000641026437989146
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas","p__Bacteroidetes","HFD","GD0",0.000308669788159557
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella","p__Bacteroidetes","Con","GD0",0.000232891985091276
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella","p__Bacteroidetes","HFD+Fuco","GD0",0.000232891985091276
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella","p__Bacteroidetes","HFD","GD0",0.000232891985091276
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella","p__Bacteroidetes","HFD","GD0",0.00171968147600191
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Pseudoprevotella","p__Bacteroidetes","HFD+Fuco","GD0",0.000146551472262583
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Pseudoprevotella","p__Bacteroidetes","HFD","GD0",0.000146551472262583
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella","p__Bacteroidetes","HFD","GD0",0.000221410429287503
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Tannerella","p__Bacteroidetes","Con","GD0",0.000221410429287503
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter","p__Bacteroidetes","Con","GD0",0.000523364474152393
"k__Bacteria|p__Bacteroidetes|c__Cytophagia|o__Cytophagales|f__Hymenobacteraceae|g__Hymenobacter","p__Bacteroidetes","HFD","GD0",0.000523364474152393
"k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium","p__Bacteroidetes","HFD","GD0",0.000517799742978399
