"","Bact_p","Group2","Count","Group","Time"
"1","Actinobacteria","./CON_D0",20,"CON","Day 0"
"2","Bacteroidetes","./CON_D0",0,"CON","Day 0"
"3","Cyanobacteria","./CON_D0",0,"CON","Day 0"
"4","Firmicutes","./CON_D0",2,"CON","Day 0"
"5","Fusobacteria","./CON_D0",0,"CON","Day 0"
"6","Proteobacteria","./CON_D0",1,"CON","Day 0"
"7","Actinobacteria","./CON_D10",5,"CON","Day 10"
"8","Bacteroidetes","./CON_D10",8,"CON","Day 10"
"9","Cyanobacteria","./CON_D10",0,"CON","Day 10"
"10","Firmicutes","./CON_D10",0,"CON","Day 10"
"11","Fusobacteria","./CON_D10",0,"CON","Day 10"
"12","Proteobacteria","./CON_D10",8,"CON","Day 10"
"13","Actinobacteria","./CON_D14",63,"CON","Day 14"
"14","Bacteroidetes","./CON_D14",58,"CON","Day 14"
"15","Cyanobacteria","./CON_D14",0,"CON","Day 14"
"16","Firmicutes","./CON_D14",4,"CON","Day 14"
"17","Fusobacteria","./CON_D14",0,"CON","Day 14"
"18","Proteobacteria","./CON_D14",1,"CON","Day 14"
"19","Actinobacteria","./CON_D18",0,"CON","Day 18"
"20","Bacteroidetes","./CON_D18",0,"CON","Day 18"
"21","Cyanobacteria","./CON_D18",0,"CON","Day 18"
"22","Firmicutes","./CON_D18",3,"CON","Day 18"
"23","Fusobacteria","./CON_D18",0,"CON","Day 18"
"24","Proteobacteria","./CON_D18",0,"CON","Day 18"
"25","Actinobacteria","./FUC_D0",12,"FUC","Day 0"
"26","Bacteroidetes","./FUC_D0",114,"FUC","Day 0"
"27","Cyanobacteria","./FUC_D0",5,"FUC","Day 0"
"28","Firmicutes","./FUC_D0",0,"FUC","Day 0"
"29","Fusobacteria","./FUC_D0",0,"FUC","Day 0"
"30","Proteobacteria","./FUC_D0",10,"FUC","Day 0"
"31","Actinobacteria","./FUC_D10",6,"FUC","Day 10"
"32","Bacteroidetes","./FUC_D10",48,"FUC","Day 10"
"33","Cyanobacteria","./FUC_D10",0,"FUC","Day 10"
"34","Firmicutes","./FUC_D10",1,"FUC","Day 10"
"35","Fusobacteria","./FUC_D10",0,"FUC","Day 10"
"36","Proteobacteria","./FUC_D10",10,"FUC","Day 10"
"37","Actinobacteria","./FUC_D14",9,"FUC","Day 14"
"38","Bacteroidetes","./FUC_D14",44,"FUC","Day 14"
"39","Cyanobacteria","./FUC_D14",0,"FUC","Day 14"
"40","Firmicutes","./FUC_D14",2,"FUC","Day 14"
"41","Fusobacteria","./FUC_D14",1,"FUC","Day 14"
"42","Proteobacteria","./FUC_D14",4,"FUC","Day 14"
"43","Actinobacteria","./FUC_D18",5,"FUC","Day 18"
"44","Bacteroidetes","./FUC_D18",254,"FUC","Day 18"
"45","Cyanobacteria","./FUC_D18",0,"FUC","Day 18"
"46","Firmicutes","./FUC_D18",12,"FUC","Day 18"
"47","Fusobacteria","./FUC_D18",0,"FUC","Day 18"
"48","Proteobacteria","./FUC_D18",0,"FUC","Day 18"
"49","Actinobacteria","./HFD_D0",27,"HFD","Day 0"
"50","Bacteroidetes","./HFD_D0",6,"HFD","Day 0"
"51","Cyanobacteria","./HFD_D0",7,"HFD","Day 0"
"52","Firmicutes","./HFD_D0",1,"HFD","Day 0"
"53","Fusobacteria","./HFD_D0",0,"HFD","Day 0"
"54","Proteobacteria","./HFD_D0",10,"HFD","Day 0"
"55","Actinobacteria","./HFD_D10",5,"HFD","Day 10"
"56","Bacteroidetes","./HFD_D10",14,"HFD","Day 10"
"57","Cyanobacteria","./HFD_D10",2,"HFD","Day 10"
"58","Firmicutes","./HFD_D10",8,"HFD","Day 10"
"59","Fusobacteria","./HFD_D10",0,"HFD","Day 10"
"60","Proteobacteria","./HFD_D10",22,"HFD","Day 10"
"61","Actinobacteria","./HFD_D14",31,"HFD","Day 14"
"62","Bacteroidetes","./HFD_D14",20,"HFD","Day 14"
"63","Cyanobacteria","./HFD_D14",6,"HFD","Day 14"
"64","Firmicutes","./HFD_D14",5,"HFD","Day 14"
"65","Fusobacteria","./HFD_D14",0,"HFD","Day 14"
"66","Proteobacteria","./HFD_D14",10,"HFD","Day 14"
"67","Actinobacteria","./HFD_D18",35,"HFD","Day 18"
"68","Bacteroidetes","./HFD_D18",36,"HFD","Day 18"
"69","Cyanobacteria","./HFD_D18",11,"HFD","Day 18"
"70","Firmicutes","./HFD_D18",31,"HFD","Day 18"
"71","Fusobacteria","./HFD_D18",0,"HFD","Day 18"
"72","Proteobacteria","./HFD_D18",36,"HFD","Day 18"
