"Diet1","Sample_id","Original_Part","Modified_Part","lineage _nt","species_annotation","annotation_pre","host_Taxids","host_Lineage","host_annotation","Lytic","Temperate","BioProject","Diet","Nutrition1","Nutrition","Antibiotic","Diease","Diease2","Country","Continent","Host","Age","Age2","Sex","Diet_Type","gene"
"Low_fiber_diet","SRR17965658","NODE_1_length_51168_cov_16.515603_cutoff_15_type_linearrepeat","part_1339_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.0","1.0","PRJNA770295.2","Low_fiber_diet","","","","Tumour","isotype","United_States","North_America","mouse","","","","Control","part_1339_N1"
"Whole_grain_diet","SRR5866461","NODE_1_length_46220_cov_6.645320_cutoff_0_type_circular","part_077_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridium",1485,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__unclassified_Clostridium_species","Bacillota","0.0","1.0","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_077_N1"
"Baseline","ERR8958840","NODE_329_length_13191_cov_198.192524","part_911_N329","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Podoviridae",NA,NA,NA,NA,"0.8118782016546146","0.1881217983453865","PRJEB35524","Baseline","Baseline","Baseline","N","Obesity","Obesity","France","Europe","human","Adult","","","Control","part_911_N329"
"Whole_grain_diet","SRR5866459","NODE_518_length_12921_cov_6.756696_cutoff_5_type_linears","part_081_N518","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Podoviridae",NA,NA,NA,NA,"0.8118782016546146","0.1881217983453865","PRJNA395744","High_fiber_diet","","","","Obesity","Obesity","Denmark","Europe","human","Adult","","","Fiber","part_081_N518"
"Chow_diet","SRR8443410","NODE_1_length_50130_cov_21.127192_cutoff_0_type_circular","part_032_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridiales",186802,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__unclassified_Eubacteriales_family;g__unclassified_Eubacteriales_genus;s__unclassified_Eubacteriales_species","Bacillota","0.0875","0.9125","PRJNA515074","Chow_diet","Control","Control","N","","","United_States","North_America","mouse","","","female","Control","part_032_N1"
"Omnivores","SRR8146935","NODE_1_length_48051_cov_9.417620_cutoff_5_type_circular","part_685_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Clostridium",1485,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__Clostridium;s__unclassified_Clostridium_species","Bacillota","0.275","0.725","PRJNA421881","Omnivores","","","","","","Italy","Europe","human","Adult","","","Control","part_685_N1"
"Vegatarian","SRR8146951","NODE_1_length_47373_cov_11.952525_cutoff_5_type_circular","part_673_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Caudovirales",NA,NA,NA,"0.025","0.975","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_673_N1"
"WTP_diet","SRR1535304","NODE_1_length_48235_cov_4.782362_cutoff_5_type_circular","part_363_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Myoviridae","Caudovirales",NA,NA,NA,"0.05","0.95","PRJNA256106","High_fiber_diet","","","","Obesity","Obesity","China","Asia","human","children","children","male","Fiber","part_363_N1"
"High_fat_diet","SRR16914151","NODE_1_length_47477_cov_6.171932_cutoff_0_type_circular","part_588_N1","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Clostridiaceae",31979,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Clostridiaceae;g__unclassified_Clostridiaceae_genus;s__unclassified_Clostridiaceae_species","Bacillota","0.2375","0.7625","PRJNA773205","High_fat_diet","Cistanche_tubulosa_phenylethanoid_glycosides","Others","","","","China","Asia","mouse","","","","Fat","part_588_N1"
"Vegatarian","SRR8146951","NODE_4_length_42871_cov_11.189758_cutoff_0_type_circular","part_675_N4","k__Viruses;p__Uroviricota;c__Caudoviricetes;o__unclassified_Caudoviricetes_order;f__unclassified_Caudoviricetes_family;g__unclassified_Caudoviricetes_genus;s__Caudoviricetes_sp.","Siphoviridae","Lachnospiraceae",186803,"k__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Lachnospiraceae;g__unclassified_Lachnospiraceae_genus;s__unclassified_Lachnospiraceae_species","Bacillota","0.0","1.0","PRJNA421881","Vegatarian","","","","","","Italy","Europe","human","Adult","","","Special population diet","part_675_N4"
