"Contig_number","lca","Sample_id","Virulent","Temperate","Code","GD","Diet","num_seqs","Group","Group_f","bac_result","Phacts_result","Probability","Standard_deviation","Bact_Viru","Viruse_Pro_Number","Lineage","Mapped.Reads.Number","Contig_Abundance","seqname","length","covrage","viruse_family","Contig_Abundance2"
"NODE_1_length_100443_cov_18.132237||full",2832643,"L1EGH020951",0.590198237885463,0.409801762114537,2,"D18","FUC",5400186,"FUC18","D18_FUC18","Lytic","Temperate",0.502697302697303,0.0187578233351186,0.774647887323944,110,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",19119,3540.43360728686,"NODE_1_length_100443_cov_18.132237",100443,18.132237,"Caudoviricetes",10.5744559818609
"NODE_1_length_153765_cov_48.802576||full",2832643,"L1EGH020941",1,0,2,"D10","FUC",6503397,"FUC10","D10_FUC10","Lytic","Lytic",0.513786213786214,0.0201146810715553,0.971098265895954,168,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",78737,12107.0572809872,"NODE_1_length_153765_cov_48.802576",153765,48.802576,"Caudoviricetes",23.6212218924732
"NODE_1_length_82780_cov_23.978640||full",2831617,"L1EHE1100156",0.963257991894684,0.0367420081053156,1,"D14","HFD",3688255,"HFD14","D14_HFD14","Lytic","Lytic",0.505194805194805,0.0251424954548971,1,62,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;unclassified_Crassvirales;CrAss-like_virus_sp.",20802,5640.06555945833,"NODE_1_length_82780_cov_23.978640",82780,23.97864,"unclassified_Crassvirales",20.439957330726
"NODE_1_length_95980_cov_68.000125||full",2831617,"L1EGH020939",0.885022026431718,0.114977973568282,2,"D10","FUC",3309510,"FUC10","D10_FUC10","Lytic","Temperate",0.501898101898102,0.0263600001126426,0.971428571428571,68,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;unclassified_Crassvirales;CrAss-like_virus_sp.",68018,20552.2871965941,"NODE_1_length_95980_cov_68.000125",95980,68.000125,"unclassified_Crassvirales",64.2392806728299
"NODE_10_length_47035_cov_114.831332||full",1772219,"L1EHE1100158",0.99620640703158,0.00379359296842034,1,"D18","HFD",5825360,"HFD18","D18_HFD18","Lytic","Lytic",0.508291708291708,0.0155651921706792,1,64,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Drexlerviridae;Tunavirinae;Tunavirus;Tunavirus_JMPW1;Escherichia_phage_JMPW1",56672,9728.49746625101,"NODE_10_length_47035_cov_114.831332",47035,114.831332,"Tunavirinae",62.0505844557309
"NODE_10_length_58051_cov_13.761828||full",2832643,"L1HGH010570",0.025,0.975,1,"D14","CON",5615729,"CON14","D14_CON14","Temperate","Lytic",0.51018981018981,0.0130792849019056,0.588235294117647,20,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",8444,1503.6338113894,"NODE_10_length_58051_cov_13.761828",58051,13.761828,"Caudoviricetes",7.77058351134039
"NODE_100_length_27222_cov_7.213531||full",2832643,"L1HGH010570",0.945676770409544,0.0543232295904564,1,"D14","CON",5615729,"CON14","D14_CON14","Lytic","Lytic",0.502297702297702,0.019199541312344,0.580645161290323,18,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",2262,402.797214751638,"NODE_100_length_27222_cov_7.213531",27222,7.213531,"Caudoviricetes",4.43902595053601
"NODE_100_length_35327_cov_16.533993||full",2832643,"L1HGH010568",0.0125,0.9875,1,"D14","CON",4271223,"CON14","D14_CON14","Temperate","Temperate",0.504895104895105,0.0152961374988397,0.833333333333333,40,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",6622,1550.37561841187,"NODE_100_length_35327_cov_16.533993",35327,16.533993,"Caudoviricetes",13.1659265016435
"NODE_1000_length_10917_cov_6.587461||full",2832643,"L1HGH010576",0.751113325518199,0.248886674481802,1,"D18","CON",1348974,"CON18","D18_CON18","Lytic","Temperate",0.500499500499501,0.0187854693683008,0.583333333333333,7,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",740,548.565057591918,"NODE_1000_length_10917_cov_6.587461",10917,6.587461,"Caudoviricetes",15.0746099915339
"NODE_10002_length_3379_cov_3.963297||full",2832643,"L1HGH010573",0.811878201654615,0.188121798345387,1,"D18","CON",9970469,"CON18","D18_CON18","Lytic","Temperate",0.501198801198801,0.015124558397332,0.666666666666667,2,"Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;unclassified_Caudoviricetes;Caudoviricetes_sp.",149,14.9441315147763,"NODE_10002_length_3379_cov_3.963297",3379,3.963297,"Caudoviricetes",1.32679474827845
