"Sample_id","Contig","reads_number","GD","Diet","Group","num_seqs"
"L1EGH020932","NODE_7600_length_3582_cov_4.861072||full_4",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4115_length_5478_cov_18.545639||full_3",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2147_length_6315_cov_10.216773||full_8",22,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1416_length_5531_cov_4.552958||full_4",15,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4281_length_5884_cov_33.742494||full_3",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_229_length_25815_cov_39.516149||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4740_length_3993_cov_3.462164||full_4",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1383_length_9333_cov_17.163182||full_3",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4599_length_5346_cov_9.642034||full_4",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1606_length_7293_cov_7.564244||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_499_length_18582_cov_9.470017||full_20",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2831_length_4667_cov_2.902645||full_3",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_14378_length_1715_cov_4.092169||full_3",130,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1062_length_7504_cov_5.268224||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2107_length_6130_cov_3.550782||full_1",14,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6285_length_3930_cov_8.022968||full_3",27,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_420_length_19837_cov_19.032252||full_3",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5395_length_2996_cov_3.424005||full_5",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6866_length_3983_cov_10.660132||full_3",17,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1436_length_6749_cov_6.716463||full_4",31,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2586_length_5203_cov_4.643551||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7095_length_3155_cov_13.577419||full_4",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1613_length_7259_cov_5.759994||full_7",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_852_length_9315_cov_11.074406||full_1",629,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1245_length_8150_cov_6.382582||full_3",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6511_length_4242_cov_3.243850||full_1",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4611_length_3346_cov_10.787906||full_5",139,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_63_length_17463_cov_52.874943||full_23",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5455_length_3185_cov_3.961661||full_1",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2751_length_6180_cov_8.318367||full_5",53,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2452_length_5826_cov_5.039508||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1980_length_4147_cov_7.345797||full_1",36,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_487_length_15402_cov_9.652440||full_21",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3342_length_1936_cov_1.999468||full_2",22,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2504_length_3576_cov_5.805169||full_4",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4700_length_4151_cov_5.560303||full_5",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5562_length_4595_cov_10.851982||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3302_length_3602_cov_3.712151||full_1",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_971_length_8356_cov_17.064209||full_8",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_9241_length_3280_cov_7.050233||full_1",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_12952_length_1296_cov_3.603546||full_4",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_16_length_36913_cov_22.851647||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3064_length_3138_cov_7.829387||full_2",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2649_length_4182_cov_17.741943||full_4",36,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1062_length_7504_cov_5.268224||full_3",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_12537_length_2494_cov_3.030750||full_6",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_9766_length_3141_cov_6.974401||full_1",19,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3731_length_5884_cov_12.723795||full_4",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2494_length_5443_cov_6.009094||full_5",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2761_length_4120_cov_4.855105||full_4",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_398_length_14606_cov_5.682290||full_15",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_18_length_51016_cov_39.404348||full_4",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4802_length_3084_cov_8.382304||full_6",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7545_length_2335_cov_2.847368||full_3",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5721_length_3153_cov_28.108780||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1951_length_7033_cov_11.870307||full_4",17,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5691_length_5083_cov_11.479316||full_8",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1761_length_5857_cov_17.628059||full_2",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_474_length_14060_cov_10.404570||full_4",40,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_207_length_13026_cov_18.627168||full_26",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5_length_78727_cov_33.660159||full_fragment_2_91",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4418_length_3584_cov_7.718617||full_1",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_360_length_19998_cov_24.907536||full_18",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_984_length_8844_cov_18.392309||full_1",84,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5509_length_4668_cov_4.724041||full_3",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2717_length_6457_cov_37.435177||full_1",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_745_length_10345_cov_7.197473||full_17",17,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2886_length_7314_cov_5.015705||full_5",20,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2174_length_6593_cov_6.927042||full_3",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_9183_length_1940_cov_8.401592||full_3",49,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1218_length_5470_cov_5.337396||full_2",27,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_12066_length_2884_cov_4.044892||full_4",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8165_length_3690_cov_119.321320||full_2",63,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_207_length_28212_cov_38.268672||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6354_length_2903_cov_6.216643||full_5",81,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_493_length_18994_cov_20.981361||full_17",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_717_length_10503_cov_10.425345||full_13",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1311_length_7927_cov_14.260925||full_11",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1444_length_5984_cov_5.935571||full_1",16,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2572_length_5101_cov_13.462346||full_8",51,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2302_length_9078_cov_7.007204||full_7",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_802_length_15620_cov_6.505493||full_fragment_1_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1096_length_5639_cov_5.179083||full_3",29,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7676_length_2567_cov_3.309315||full_1",38,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1835_length_10045_cov_7.531832||full_12",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3491_length_4901_cov_24.850598||full_4",11,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2689_length_6312_cov_7.372063||full_15",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_49_length_26570_cov_5.747388||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_580_length_17056_cov_267.572849||full_6",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6353_length_4225_cov_102.955635||full_5",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_10620_length_2085_cov_12.068473||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6984_length_2474_cov_5.580819||full_4",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1078_length_13217_cov_6.007066||full_1",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2748_length_6899_cov_6.683665||full_11",24,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3120_length_5260_cov_8.563497||full_5",650,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_39_length_36926_cov_51.844241||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_13_length_68870_cov_27.631926||0_partial_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_5365_length_2319_cov_2.909894||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6851_length_3988_cov_57.342232||full_3",81,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7937_length_4020_cov_44.281463||full_3",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_728_length_13414_cov_20.292537||full_9",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3129_length_4957_cov_4.937169||full_1",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7594_length_3585_cov_3.611331||full_3",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_11996_length_2944_cov_9.746279||full_5",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2403_length_4511_cov_3.512792||full_1",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8801_length_2163_cov_3.243359||full_2",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_15_length_52192_cov_33.363619||0_partial_1",43,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4415_length_5554_cov_20.950900||full_3",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6738_length_3110_cov_9.401309||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3996_length_4652_cov_8.430063||full_4",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4415_length_5554_cov_20.950900||full_5",28,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8800_length_3719_cov_13.289028||full_1",83,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_540_length_17568_cov_6.802432||full_16",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_14308_length_2375_cov_43.837500||full_4",10,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_52_length_37714_cov_24.123530||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4674_length_5293_cov_6.359107||full_3",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3103_length_2992_cov_5.109976||full_3",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2031_length_4099_cov_5.088773||full_1",8,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_15768_length_2190_cov_3.330211||full_1",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1625_length_6913_cov_5.567512||full_1",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7395_length_3769_cov_8.625202||full_4",26,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1370_length_8656_cov_11.458086||full_3",40,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6965_length_2750_cov_2.912801||full_3",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_10691_length_2796_cov_5.356804||full_2",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2098_length_3854_cov_29.929192||full_5",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2070_length_4980_cov_4.856041||full_1",23,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4963_length_2281_cov_4.028751||full_3",6,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4157_length_4537_cov_56.993307||full_2",75,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2388_length_4844_cov_6.532261||full_3",17,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4841_length_4897_cov_10.490500||full_3",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_38_length_18726_cov_9.271223||full_1",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3996_length_4652_cov_8.430063||full_3",27,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2469_length_5893_cov_39.209661||full_4",12,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_8412_length_1757_cov_4.492362||full_2",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2268_length_8488_cov_8.757856||full_13",13,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2284_length_4737_cov_5.732593||full_6",20,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_49_length_36748_cov_9.288066||full_40",9,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_766_length_15717_cov_10.706679||full_8",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_19_length_39728_cov_8.633781||full_47",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7229_length_1774_cov_3.741710||full_4",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7485_length_3826_cov_21.132326||full_3",25,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_3765_length_4837_cov_26.173149||full_2",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_9192_length_3292_cov_4.355576||full_3",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2724_length_6440_cov_5.093500||full_2",17,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_7774_length_2787_cov_6.970351||full_3",289,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1495_length_4371_cov_3.284523||full_1",2,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_10171_length_2187_cov_4.221857||full_4",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_10927_length_2819_cov_6.796671||full_3",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_9041_length_1737_cov_6.156361||full_1",25,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_16338_length_2068_cov_3.323398||full_4",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_127_length_20825_cov_17.143669||full_1",1,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_59_length_23558_cov_8.945369||full_11",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_952_length_8877_cov_19.968488||full_7",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6618_length_2564_cov_4.121164||full_4",7,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_4443_length_5101_cov_6.524772||full_9",4,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6227_length_2908_cov_9.509639||full_4",3,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_6791_length_3865_cov_22.765617||full_1",5,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_1118_length_12499_cov_29.773385||full_9",51,"D0","FUC","FUC_D0",5671704
"L1EGH020932","NODE_2566_length_7190_cov_7.543798||full_2",7,"D0","FUC","FUC_D0",5671704
