"AMG.KO","metabolism","Sample_id","protein","scaffold","AMG.KO.name","Pfam","Pfam.name","scaffold2","GD","Diet","Group","num_seqs"
"K00012","Carbohydrate metabolism","L1EHE1100145","NODE_2300_length_3187_cov_4.322797||full_1","NODE_2300_length_3187_cov_4.322797||full","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","PF03721.14","UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain","NODE_2300_length_3187_cov_4.32","D0","HFD","HFD_D0",12059949
"K00012","Carbohydrate metabolism","L1HGH010576","NODE_11066_length_2053_cov_10.661662||full_1","NODE_11066_length_2053_cov_10.661662||full","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","PF03721.14","UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain","NODE_11066_length_2053_cov_10.","D18","CON","CON_D18",1348974
"K00012","Carbohydrate metabolism","L1EGH020948","NODE_12119_length_1340_cov_3.612451||full_1","NODE_12119_length_1340_cov_3.612451||full","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","PF03721.14","UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain","NODE_12119_length_1340_cov_3.6","D18","FUC","FUC_D18",4518638
"K00012","Carbohydrate metabolism","L1EGH020932","NODE_9903_length_2936_cov_8.179452||full_1","NODE_9903_length_2936_cov_8.179452||full","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","PF03721.14","UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain","NODE_9903_length_2936_cov_8.17","D0","FUC","FUC_D0",5671704
"K00012","Carbohydrate metabolism","L1HGH010577","NODE_86_length_38959_cov_7.950339||full_1 5402-38957/38957_23","NODE_86_length_38959_cov_7.950339||full_1 5402-38957/38957","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","PF00984.19","UDP-glucose/GDP-mannose dehydrogenase family, central domain","NODE_86_length_38959_cov_7.950","D18","CON","CON_D18",7933325
"K00012","Carbohydrate metabolism","L1HGH010572","NODE_885_length_8452_cov_3.818030||full_12","NODE_885_length_8452_cov_3.818030||full","UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]","PF00984.19","UDP-glucose/GDP-mannose dehydrogenase family, central domain","NODE_885_length_8452_cov_3.818","D18","CON","CON_D18",2905693
"K00013","Amino acid metabolism","L1HGH010562","NODE_6723_length_2063_cov_4.147908||full_1","NODE_6723_length_2063_cov_4.147908||full","hisD; histidinol dehydrogenase [EC:1.1.1.23]","PF00815.20","Histidinol dehydrogenase","NODE_6723_length_2063_cov_4.14","D10","CON","CON_D10",3496439
"K00048","Carbohydrate metabolism","L1HGH010574","NODE_18_length_55510_cov_20.024344||full_102","NODE_18_length_55510_cov_20.024344||full","fucO; lactaldehyde reductase [EC:1.1.1.77]","PF00465.19","Iron-containing alcohol dehydrogenase","NODE_18_length_55510_cov_20.02","D18","CON","CON_D18",2433274
"K00059","Metabolism of cofactors and vitamins","L1HGH010570","NODE_26_length_44794_cov_10.668768||full_58","NODE_26_length_44794_cov_10.668768||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","PF13561.6","Enoyl-(Acyl carrier protein) reductase","NODE_26_length_44794_cov_10.66","D14","CON","CON_D14",5615729
"K00059","Metabolism of cofactors and vitamins","L1EGH020933","NODE_11298_length_1813_cov_5.133675||full_2","NODE_11298_length_1813_cov_5.133675||full","fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]","","","NODE_11298_length_1813_cov_5.1","D0","FUC","FUC_D0",11806630
