SRR14826639.NODE_14302_length_2028_cov_3.341105||full	SRR14826639.NODE_14302_length_2028_cov_3.341105||full
SRR14826639.NODE_14541_length_2004_cov_2.699333||full	SRR14826639.NODE_14541_length_2004_cov_2.699333||full
SRR14826639.NODE_14816_length_1976_cov_3.171265||full	SRR14826639.NODE_14816_length_1976_cov_3.171265||full
SRR14826639.NODE_15352_length_1926_cov_2.524319||full	SRR14826639.NODE_15352_length_1926_cov_2.524319||full
SRR14826639.NODE_15352_length_1926_cov_2.524319||full	SRR14826648.NODE_25731_length_1752_cov_2.956394||full
SRR14826639.NODE_16820_length_1801_cov_2.856816||full	SRR14826639.NODE_16820_length_1801_cov_2.856816||full
SRR14826639.NODE_17194_length_1772_cov_2.188119||full	SRR14826639.NODE_17194_length_1772_cov_2.188119||full
SRR14826639.NODE_17847_length_1722_cov_2.593281||full	SRR14826639.NODE_17847_length_1722_cov_2.593281||full
SRR14826639.NODE_18254_length_1693_cov_3.557387||full	SRR14826639.NODE_18254_length_1693_cov_3.557387||full
SRR14826639.NODE_18543_length_1674_cov_3.813465||full	SRR14826639.NODE_18543_length_1674_cov_3.813465||full
SRR14826639.NODE_18872_length_1654_cov_3.254534||full	SRR14826639.NODE_18872_length_1654_cov_3.254534||full
SRR14826639.NODE_18872_length_1654_cov_3.254534||full	SRR8735345.NODE_37277_length_1580_cov_2.749508||full
SRR14826639.NODE_19129_length_1638_cov_3.518004||full	SRR14826639.NODE_19129_length_1638_cov_3.518004||full
SRR14826639.NODE_19421_length_1620_cov_2.659425||full	SRR14826639.NODE_19421_length_1620_cov_2.659425||full
SRR14826639.NODE_21257_length_1518_cov_2.631579||full	SRR14826639.NODE_21257_length_1518_cov_2.631579||full
SRR14826639.NODE_21550_length_1503_cov_2.301105||full	SRR14826639.NODE_21550_length_1503_cov_2.301105||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	SRR14826640.NODE_962_length_27572_cov_20.045281||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	SRR8735348.NODE_33350_length_2214_cov_11.527096||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	mgm4539918.3_d.NODE_3539_length_2273_cov_5.081154||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	SRR14826646.NODE_15944_length_3218_cov_2.928865||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	mgm4539918.3_d.NODE_3539_length_2273_cov_5.081154||full
SRR14826640.NODE_962_length_27572_cov_20.045281||full	SRR8735348.NODE_32852_length_2241_cov_4.416285||full
