"Contig_number","Sample_id","IMG_name","Source","Viruse_type","Bacteria_Host","Virulent","Temperate","Phacts_result","Probability","Standard_deviation","GD","Diet","Group","num_seqs","bac_result","Mapped.Reads.Number","Contig_Abundance","Bacteria_Host_G","Contig_number2","Contig_name2"
"NODE_1_length_153765_cov_48.802576||full","L1EGH020941","IMGVR_UViG_3300007853_000009|3300007853|Ga0114093_100100","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",1,0,"Lytic",0.513786213786214,0.0201146810715553,"D10","FUC","FUC_D10",6503397,"Lytic",78737,12107.0572809872,"Parabacteroides","NODE_1_length_153765_cov_48.80","NODE_1_length_153765_cov_48.80"
"NODE_1_length_69011_cov_10.160494||full","L1EGH020936","IMGVR_UViG_3300029229_000002|3300029229|Ga0167470_100191","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",0.766698817857512,0.233301182142489,"Lytic",0.501598401598402,0.0256782125435268,"D0","FUC","FUC_D0",8561108,"Lytic",7398,864.140482750597,"Parabacteroides","NODE_1_length_69011_cov_10.160","NODE_1_length_69011_cov_10.160"
"NODE_1_length_73920_cov_8.604265||full","L1HGH010563","IMGVR_UViG_3300045988_078696|3300045988|Ga0495776_076130","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.512287712287712,0.0228673052585296,"D10","CON","CON_D10",3065098,NA,6651,2169.91430616574,"Parabacteroides","NODE_1_length_73920_cov_8.6042","NODE_1_length_73920_cov_8.6042"
"NODE_1_length_94321_cov_76.493890||full","L1HGH010559","IMGVR_UViG_3300045988_049462|3300045988|Ga0495776_075880","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.501398601398601,0.0174379337323194,"D0","CON","CON_D0",1732889,NA,75847,43769.1046570207,"Parabacteroides","NODE_1_length_94321_cov_76.493","NODE_1_length_94321_cov_76.493"
"NODE_1_length_94524_cov_127.882057||full","L1EGH020949","IMGVR_UViG_3300045988_037495|3300045988|Ga0495776_000366","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.501598401598402,0.0192288879030975,"D18","FUC","FUC_D18",12447007,NA,126512,10164.0498796217,"Parabacteroides","NODE_1_length_94524_cov_127.88","NODE_1_length_94524_cov_127.88"
"NODE_1_length_95663_cov_130.519141||full","L1EGH020948","IMGVR_UViG_3300045988_072145|3300045988|Ga0495776_012464","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.507092907092907,0.0254586540438705,"D18","FUC","FUC_D18",4518638,NA,130776,28941.4642199707,"Parabacteroides","NODE_1_length_95663_cov_130.51","NODE_1_length_95663_cov_130.51"
"NODE_1_length_96070_cov_1041.249857||full","L1EGH020947","IMGVR_UViG_3300045988_072145|3300045988|Ga0495776_012464","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.503996003996004,0.0141931992427221,"D18","FUC","FUC_D18",6254490,NA,1050049,167887.229814102,"Parabacteroides","NODE_1_length_96070_cov_1041.2","NODE_1_length_96070_cov_1041.2"
"NODE_1_length_96395_cov_396.954422||full","L1EHE1100159","IMGVR_UViG_3300029229_000002|3300029229|Ga0167470_100191","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.505594405594406,0.0146581057783711,"D18","HFD","HFD_D18",7183523,NA,400744,55786.5548700826,"Parabacteroides","NODE_1_length_96395_cov_396.95","NODE_1_length_96395_cov_396.95"
"NODE_1_length_96395_cov_40.793876||full","L1EHE1100157","IMGVR_UViG_3300045988_072145|3300045988|Ga0495776_012464","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Temperate",0.504295704295704,0.0228279925616329,"D14","HFD","HFD_D14",10753763,NA,41125,3824.2427325207,"Parabacteroides","NODE_1_length_96395_cov_40.793","NODE_1_length_96395_cov_40.793"
"NODE_10_length_81299_cov_22.594813||full","L1EHE1100150","IMGVR_UViG_3300045988_049462|3300045988|Ga0495776_075880","Host-associated;Mammals: Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;",NA,NA,"Lytic",0.504295704295704,0.021872419074372,"D10","HFD","HFD_D10",2197362,NA,19304,8785.07956358579,"Parabacteroides","NODE_10_length_81299_cov_22.59","NODE_10_length_81299_cov_22.59"
