"Contig","HGT_contig_length"
"NODE_590_length_14192_cov_4.586546||full_2-(1045..2625)-K06400-spoIVCA; site-specific DNA recombinase",1581
"NODE_590_length_14192_cov_4.586546||full_3-(2628..3533)-K06400-spoIVCA; site-specific DNA recombinase",906
"NODE_4166_length_5019_cov_7.344682||full_5-(1835..2791)-K04763-xerD; integrase/recombinase XerD",957
"NODE_3595_length_5470_cov_51.484765||full_4-(1872..2516)-K04763-xerD; integrase/recombinase XerD",645
"NODE_7608_length_3492_cov_3.975851||full_4-(1734..2684)-K07482-K07482; transposase, IS30 family",951
"NODE_4532_length_4768_cov_12.671971||full_3-(711..1730)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_3306_length_5753_cov_4.147596||full_5-(2580..4316)-K06400-spoIVCA; site-specific DNA recombinase",1737
"NODE_1672_length_8390_cov_15.425075||full_12-(7529..8386)-K07482-K07482; transposase, IS30 family",858
"NODE_7731_length_3453_cov_5.691878||full_3-(2226..2603)-PF13022.6-Helix-turn-helix of insertion element transposase",378
"NODE_3631_length_5438_cov_5.365967||full_10-(3953..4378)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",426
"NODE_4141_length_5034_cov_12.039164||full_3-(2107..2763)-K03733-xerC; integrase/recombinase XerC",657
"NODE_4141_length_5034_cov_12.039164||full_5-(4128..4979)-K03733-xerC; integrase/recombinase XerC",852
"NODE_1383_length_9333_cov_17.163182||full_3-(1735..2772)-K07482-K07482; transposase, IS30 family",1038
"NODE_11558_length_2639_cov_3.093653||full_4-(2047..2637)-K06400-spoIVCA; site-specific DNA recombinase",591
"NODE_6921_length_3702_cov_14.447217||full_5-(3154..3567)-PF14659.6-Phage integrase, N-terminal SAM-like domain",414
"NODE_7094_length_3646_cov_12.964912||full_4-(2349..3644)-K07486-K07486; transposase",1296
"NODE_5779_length_4123_cov_3.858899||full_3-(863..2065)-K04763-xerD; integrase/recombinase XerD",1203
"NODE_5174_length_4422_cov_7.026334||full_9-(3782..4324)-K07482-K07482; transposase, IS30 family",543
"NODE_150_length_24827_cov_6.760132||full_1 5007-24825/24825_1-(277..1371)-K04763-xerD; integrase/recombinase XerD",1095
"NODE_117_length_26954_cov_17.869549||full_18-(13499..14518)-K14059-int; integrase",1020
"NODE_117_length_26954_cov_17.869549||full_22-(15795..17408)-K06400-spoIVCA; site-specific DNA recombinase",1614
"NODE_117_length_26954_cov_17.869549||full_23-(17396..18679)-K06400-spoIVCA; site-specific DNA recombinase",1284
"NODE_6973_length_3688_cov_3.261767||full_1-(1..930)-K03733-xerC; integrase/recombinase XerC",930
"NODE_6178_length_3971_cov_6.480082||full_8-(3558..3902)-K06400-spoIVCA; site-specific DNA recombinase",345
"NODE_2933_length_6172_cov_6.971228||full_3-(2082..3626)-K06400-spoIVCA; site-specific DNA recombinase",1545
"NODE_2933_length_6172_cov_6.971228||full_4-(3623..4123)-K06400-spoIVCA; site-specific DNA recombinase",501
"NODE_2933_length_6172_cov_6.971228||full_5-(4143..5783)-K06400-spoIVCA; site-specific DNA recombinase",1641
"NODE_25_length_46321_cov_48.392318||full_1 17394-45241/45241_25-(26829..27848)-K04763-xerD; integrase/recombinase XerD",1020
"NODE_487_length_15402_cov_9.652440||full_20-(13799..15121)-K06400-spoIVCA; site-specific DNA recombinase",1323
"NODE_487_length_15402_cov_9.652440||full_21-(15100..15399)-K06400-spoIVCA; site-specific DNA recombinase",300
"NODE_5434_length_4277_cov_38.296305||full_5-(2989..3420)-PF01797.16-Transposase IS200 like",432
"NODE_5857_length_4088_cov_4.282420||full_3-(895..3021)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",2127
"NODE_20415_length_1769_cov_3.197200||full_1-(1..651)-K14059-int; integrase",651
"NODE_11548_length_2640_cov_3.676983||full_1-(1..765)-K06400-spoIVCA; site-specific DNA recombinase",765
"NODE_4264_length_4947_cov_4.680090||full_7-(2570..4525)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",1956
"NODE_337_length_18300_cov_5.368923||full_11-(7947..8600)-PF09588.10-YqaJ-like viral recombinase domain",654
"NODE_337_length_18300_cov_5.368923||full_31-(16572..17927)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1356
"NODE_3232_length_5817_cov_22.191600||full_3-(1021..2631)-K06400-spoIVCA; site-specific DNA recombinase",1611
"NODE_3232_length_5817_cov_22.191600||full_4-(2632..4269)-K06400-spoIVCA; site-specific DNA recombinase",1638
"NODE_3232_length_5817_cov_22.191600||full_5-(4262..5800)-K06400-spoIVCA; site-specific DNA recombinase",1539
"NODE_15109_length_2190_cov_3.314286||full_4-(1895..2188)-K06400-spoIVCA; site-specific DNA recombinase",294
"NODE_9986_length_2920_cov_3.761955||full_4-(1940..2827)-K03733-xerC; integrase/recombinase XerC",888
"NODE_10213_length_2878_cov_11.471838||full_1-(1..990)-K07482-K07482; transposase, IS30 family",990
"NODE_1324_length_9521_cov_6.177372||full_4-(2733..2987)-K07482-K07482; transposase, IS30 family",255
"NODE_819_length_12016_cov_66.749018||full_1-(1..510)-VOG00758-sp|P16942|T629_SHISO Transposase for insertion sequence element IS629",510
"NODE_819_length_12016_cov_66.749018||full_2-(633..845)-PF00872.18-Transposase, Mutator family",213
"NODE_11815_length_2600_cov_49.506876||full_4-(1122..2531)-VOG00520-sp|P03015|GIN_BPMU Serine recombinase gin",1410
"NODE_9042_length_3122_cov_3.460711||full_4-(585..2018)-K06400-spoIVCA; site-specific DNA recombinase",1434
"NODE_22171_length_1663_cov_10.563433||full_2-(411..1328)-K06400-spoIVCA; site-specific DNA recombinase",918
"NODE_1374_length_9371_cov_8.697295||full_14-(7696..9189)-K06400-spoIVCA; site-specific DNA recombinase",1494
"NODE_105_length_28197_cov_18.566840||full_1 1-20375/28047_30-(19251..20375)-K07482-K07482; transposase, IS30 family",1125
"NODE_21172_length_1721_cov_3.740696||full_1-(1..891)-K06400-spoIVCA; site-specific DNA recombinase",891
"NODE_11202_length_2697_cov_2.883800||full_1-(1..723)-PF00665.26-Integrase core domain",723
"NODE_2724_length_6440_cov_5.093500||full_2-(207..1766)-K06400-spoIVCA; site-specific DNA recombinase",1560
"NODE_2724_length_6440_cov_5.093500||full_3-(1759..3462)-K06400-spoIVCA; site-specific DNA recombinase",1704
"NODE_2724_length_6440_cov_5.093500||full_4-(3464..5164)-K06400-spoIVCA; site-specific DNA recombinase",1701
"NODE_4439_length_4824_cov_8.156008||full_1-(1..546)-K06400-spoIVCA; site-specific DNA recombinase",546
"NODE_4439_length_4824_cov_8.156008||full_2-(590..2167)-K06400-spoIVCA; site-specific DNA recombinase",1578
"NODE_4439_length_4824_cov_8.156008||full_3-(2164..3858)-K06400-spoIVCA; site-specific DNA recombinase",1695
"NODE_4439_length_4824_cov_8.156008||full_4-(3859..4572)-K06400-spoIVCA; site-specific DNA recombinase",714
"NODE_1279_length_9644_cov_44.423298||full_5-(2622..4430)-VOG15133-REFSEQ integrase core domain protein",1809
