"Contig_number","Phacts_result","Probability","Standard_deviation","Sample_id"
"NODE_63_length_34295_cov_15.360514||full","Temperate","0.5076923076923077",0.0234363164529179,"L1EGH020932"
"NODE_3_length_94467_cov_11.066263||full","Lytic","0.5031968031968034",0.0139220027960825,"L1EGH020932"
"NODE_6_length_69124_cov_7.924843||full","Lytic","0.5077922077922078",0.0219373431550762,"L1EGH020932"
"NODE_20_length_51715_cov_79.688734||full","Temperate","0.5020979020979021",0.011427104269993,"L1EGH020932"
"NODE_27_length_45943_cov_15.966157||full","Lytic","0.5005994005994006",0.0299948282353566,"L1EGH020932"
"NODE_33_length_43677_cov_17.553390||full","Temperate","0.5011988011988012",0.0144081436416701,"L1EGH020932"
"NODE_49_length_38384_cov_19.167654||full","Lytic","0.5005994005994007",0.0130747058546529,"L1EGH020932"
"NODE_50_length_38352_cov_12.143902||full","Temperate","0.5014985014985014",0.0192005808954897,"L1EGH020932"
"NODE_52_length_37888_cov_44.391166||full","Lytic","0.5007992007992008",0.023184787980015,"L1EGH020932"
"NODE_66_length_33085_cov_17.247926||full","Lytic","0.5008991008991008",0.016404314305779,"L1EGH020932"
"NODE_83_length_29662_cov_10.533218||full","Temperate","0.5016983016983017",0.0265921981575292,"L1EGH020932"
"NODE_117_length_26954_cov_17.869549||full","Lytic","0.5081918081918082",0.0186898643288738,"L1EGH020932"
"NODE_122_length_26507_cov_46.676319||full","Temperate","0.5054945054945056",0.0182081463986002,"L1EGH020932"
"NODE_129_length_25962_cov_26.851623||full","Lytic","0.5043956043956044",0.0285037586822809,"L1EGH020932"
"NODE_130_length_25866_cov_6.069234||full","Temperate","0.5116883116883117",0.014667294427359,"L1EGH020932"
"NODE_138_length_25306_cov_8.834145||full","Lytic","0.5064935064935064",0.0130330391666737,"L1EGH020932"
"NODE_144_length_25135_cov_22.910766||full","Lytic","0.5105894105894107",0.025219383999694,"L1EGH020932"
"NODE_146_length_25024_cov_48.346269||full","Lytic","0.5012987012987014",0.0170989753409268,"L1EGH020932"
"NODE_151_length_24682_cov_8.406505||full","Lytic","0.502797202797203",0.0146417561641981,"L1EGH020932"
"NODE_160_length_23792_cov_17.616885||full","Lytic","0.5018981018981019",0.0179609155787965,"L1EGH020932"
"NODE_195_length_22306_cov_7.762977||full","Temperate","0.500999000999001",0.0160789513375435,"L1EGH020932"
"NODE_205_length_21913_cov_11.427898||full","Lytic","0.5010989010989011",0.0126222501275421,"L1EGH020932"
"NODE_209_length_21831_cov_8.349835||full","Temperate","0.5072927072927074",0.0206084971548118,"L1EGH020932"
"NODE_226_length_21109_cov_6.802128||full","Lytic","0.5173826173826174",0.0174722390221737,"L1EGH020932"
"NODE_240_length_20579_cov_33.389982||full","Temperate","0.506993006993007",0.0249680309887368,"L1EGH020932"
"NODE_245_length_20483_cov_73.707950||full","Lytic","0.5025974025974026",0.0198117288064117,"L1EGH020932"
"NODE_249_length_20316_cov_29.148364||full","Lytic","0.5077922077922079",0.0157135585161858,"L1EGH020932"
"NODE_258_length_20192_cov_6.325719||full","Lytic","0.5097902097902097",0.0229337646042814,"L1EGH020932"
"NODE_267_length_20078_cov_13.461170||full","Temperate","0.5004995004995005",0.0254696279400239,"L1EGH020932"
"NODE_286_length_19527_cov_5.873870||full","Lytic","0.5034965034965035",0.0198396668728174,"L1EGH020932"
