"Contig","AMG_contig_length"
"NODE_590_length_14192_cov_4.586546||full_1---1---975---1---ID=4_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.359",975
"NODE_909_length_11446_cov_6.061979||full_9---5147---5899---1---ID=43_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.495",753
"NODE_909_length_11446_cov_6.061979||full_17---10762---11445---1---ID=43_17;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.475",684
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_1---1---342---1---ID=45_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.614",342
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_2---339---899---1---ID=45_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.656",561
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_3---896---1261---1---ID=45_3;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.697",366
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_4---1262---1504---1---ID=45_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626",243
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_5---1501---1833---1---ID=45_5;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=3-4bp;gc_cont=0.649",333
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_6---1896---2324---1---ID=45_6;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.606",429
"NODE_4441_length_4824_cov_4.670371||full_1-1-2714/4823_7---2337---2714---1---ID=45_7;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.593",378
"NODE_13814_length_2329_cov_3.712401||full_5---1924---2271----1---ID=65_5;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.420",348
"NODE_11086_length_2716_cov_4.156332||full_2---708---1727---1---ID=67_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.438",1020
"NODE_4532_length_4768_cov_12.671971||full_6---2538---3449---1---ID=92_6;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.486",912
"NODE_796_length_12183_cov_17.101088||full_9---6031---8151----1---ID=96_9;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.579",2121
