"IMG_name","Contig_number","Source","Viruse_type","Bacteria_Host"
"IMGVR_UViG_2037747006_000006|2037747006|CBMLargeContigs4fn_contig00060|33079-77547","NODE_25150_length_1484_cov_4.202939||full","Environmental;Aquatic;Freshwater;Groundwater","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;;"
"IMGVR_UViG_2065487001_000016|2065487001|bke_il_soap_contig_19374","NODE_5612_length_3188_cov_4.092563||full","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;"
"IMGVR_UViG_2065487001_000019|2065487001|bke_il_soap_contig_25783","NODE_9883_length_1972_cov_4.456964||full","Host-associated;Human;Digestive system;Large intestine","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;;;;","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_563_length_17561_cov_52.182223||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_2_length_90454_cov_14.437748||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_1_length_82780_cov_23.978640||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_32_length_27357_cov_6.488499||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_13208_length_1895_cov_9.289130||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_55_length_32282_cov_34.453191||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_125_length_20183_cov_315.681936||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
"IMGVR_UViG_2124908002_000009|2124908002|TmanCon_contig15357","NODE_3587_length_4055_cov_4.774500||full","Host-associated;Mammals;Digestive system;Stomach","r__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Crassvirales;;;",";;;;;;"
